ParkName,ParkCode,LocationID,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,ChannelTypeDescr,tbl_TransectSpacingInterval_Season,ChannelTypeSampledLength_m,NumberOfTransects,TransectSpacingInterval_m
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun03,2008,6/3/2008 0:00:00,6/3/2008 0:00:00,,backwater_main,Backwater habitat off of the main channel,2008,23,3,10.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun03,2009,6/3/2009 0:00:00,6/3/2009 0:00:00,,main,The channel that contains the majority of flow,2009,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun01,2010,6/1/2010 0:00:00,6/1/2010 0:00:00,,main,The channel that contains the majority of flow,2010,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun19,2013,6/19/2013 0:00:00,6/19/2013 0:00:00,,main,The channel that contains the majority of flow,2013,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun30,2015,6/30/2015 0:00:00,6/30/2015 0:00:00,,backwater_main,Backwater habitat off of the main channel,2015,25,3,12.50
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun30,2015,6/30/2015 0:00:00,6/30/2015 0:00:00,,Main,The channel that contains the majority of flow,2015,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun02,2017,6/2/2017 0:00:00,6/2/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun14,2019,6/14/2019 0:00:00,6/14/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023May25,2023,5/25/2023 0:00:00,5/25/2023 0:00:00,,main,The channel that contains the majority of flow,2023,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN02,2006,6/2/2006 0:00:00,6/2/2006 0:00:00,,main,The channel that contains the majority of flow,2006,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May31,2007,5/31/2007 0:00:00,5/31/2007 0:00:00,,main,The channel that contains the majority of flow,2007,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun04,2008,6/4/2008 0:00:00,6/4/2008 0:00:00,,main,The channel that contains the majority of flow,2008,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun08,2009,6/8/2009 0:00:00,6/8/2009 0:00:00,,main,The channel that contains the majority of flow,2009,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun03,2010,6/3/2010 0:00:00,6/3/2010 0:00:00,,main,The channel that contains the majority of flow,2010,310,6,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun17,2013,6/17/2013 0:00:00,6/17/2013 0:00:00,,main,The channel that contains the majority of flow,2013,620,10,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jul01,2015,7/1/2015 0:00:00,7/1/2015 0:00:00,,Main,The channel that contains the majority of flow,2015,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun15,2017,6/15/2017 0:00:00,6/15/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,620,11,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun19,2019,6/19/2019 0:00:00,6/19/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,620,9,62.00
Buffalo National River,BUFF,BUFFRMFISHBM04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun01,2023,6/1/2023 0:00:00,6/1/2023 0:00:00,,main,The channel that contains the majority of flow,2023,620,9,62.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN12,2006,6/12/2006 0:00:00,6/12/2006 0:00:00,,main,The channel that contains the majority of flow,2006,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007Jun20,2007,6/20/2007 0:00:00,6/20/2007 0:00:00,stopped shocking for about 2omins during last 15 mins of shocking due to heavy rain. Water cleared and we continued shocking,main,The channel that contains the majority of flow,2007,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun05,2008,6/5/2008 0:00:00,6/5/2008 0:00:00,,main,The channel that contains the majority of flow,2008,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun09,2009,6/9/2009 0:00:00,6/9/2009 0:00:00,,main,The channel that contains the majority of flow,2009,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun02,2010,6/2/2010 0:00:00,6/2/2010 0:00:00,,main,The channel that contains the majority of flow,2010,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun18,2013,6/18/2013 0:00:00,6/18/2013 0:00:00,,main,The channel that contains the majority of flow,2013,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun14,2017,6/14/2017 0:00:00,6/14/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun14,2017,6/14/2017 0:00:00,6/14/2017 0:00:00,,Backwater_main,Backwater habitat off of the main channel,2017,62,3,31.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun18,2019,6/18/2019 0:00:00,6/18/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun07,2023,6/7/2023 0:00:00,6/7/2023 0:00:00,,main,The channel that contains the majority of flow,2023,560,11,56.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN05,2006,6/5/2006 0:00:00,6/5/2006 0:00:00,,main,The channel that contains the majority of flow,2006,726,11,73.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007Jun04,2007,6/4/2007 0:00:00,6/4/2007 0:00:00,,main,The channel that contains the majority of flow,2007,726,11,73.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun18,2008,6/18/2008 0:00:00,6/19/2008 0:00:00,,main,The channel that contains the majority of flow,2008,726,11,72.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun10,2009,6/10/2009 0:00:00,6/10/2009 0:00:00,,main,The channel that contains the majority of flow,2009,726,11,73.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun09,2010,6/9/2010 0:00:00,6/9/2010 0:00:00,,main,The channel that contains the majority of flow,2010,726,11,72.00
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun11,2013,6/11/2013 0:00:00,6/11/2013 0:00:00,,main,The channel that contains the majority of flow,2013,726,11,72.60
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun21,2017,6/21/2017 0:00:00,6/21/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,726,11,72.60
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun20,2019,6/20/2019 0:00:00,6/20/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,726,11,72.60
Buffalo National River,BUFF,BUFFRMFISHBM06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun14,2023,6/14/2023 0:00:00,6/14/2023 0:00:00,,main,The channel that contains the majority of flow,2023,726,11,72.60
Buffalo National River,BUFF,BUFFRMFISHBT01,Tributary,First riffle above water crossing,Smith Creek,Smith,Newton,279,BUFFT01,150,22.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May19,2009,5/19/2009 0:00:00,5/19/2009 0:00:00,,main,The channel that contains the majority of flow,2009,150,11,15.00
Buffalo National River,BUFF,BUFFRMFISHBT03,Tributary,Whiteley Creek - US Hwy 21; upstream of Hwy,Whiteley Creek,Whiteley,Newton,640,BUFFT03,150,14.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,5/22/2006 0:00:00,,main,The channel that contains the majority of flow,2006,150,11,15.00
Buffalo National River,BUFF,BUFFRMFISHBT04,Tributary,Sneeds Creek. Downstream boundary is located at large boulder in center of channel 2 riffles upstream of stretch,Sneeds Creek,Sneeds,Newton,441,BUFFT04,150,12.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May21,2008,5/21/2008 0:00:00,5/21/2008 0:00:00,,main,The channel that contains the majority of flow,2008,150,11,15.00
