ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,ChannelType,SiteNumber,SampleLocation,tbl_ShinerRiparianCorridor_Season,RiparianCover_0to25_m,RiparianCover_26to50_m,RiparianCover_51to75_m,RiparianCover_76to100_m,RiparianCover_GT100_m,StreamBankErosionCover
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2001Sep11,2001,9/11/2001 0:00:00,9/12/2001 0:00:00,PIPEShiner2001Sep12,2001,9/12/2001 0:00:00,9/12/2001 0:00:00,main,3,R,2001,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2001Sep11,2001,9/11/2001 0:00:00,9/12/2001 0:00:00,PIPEShiner2001Sep12,2001,9/12/2001 0:00:00,9/12/2001 0:00:00,main,4,L,2001,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2001Sep11,2001,9/11/2001 0:00:00,9/12/2001 0:00:00,PIPEShiner2001Sep12,2001,9/12/2001 0:00:00,9/12/2001 0:00:00,main,4,R,2001,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2001Sep11,2001,9/11/2001 0:00:00,9/12/2001 0:00:00,PIPEShiner2001Sep12,2001,9/12/2001 0:00:00,9/12/2001 0:00:00,main,5,L,2001,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,1,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,2,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,3,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,4,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,5,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,1,R,2004,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,2,L,2004,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,2,R,2004,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,3,L,2004,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,3,R,2004,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,4,L,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,4,R,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,5,L,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,5,R,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,4,R,2005,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,5,R,2005,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug30,2006,8/30/2006 0:00:00,8/30/2006 0:00:00,main,1,R,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug30,2006,8/30/2006 0:00:00,8/30/2006 0:00:00,main,5,R,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,1,L,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,1,R,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,2,L,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,2,R,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,3,L,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,3,R,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,4,L,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,4,R,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,5,L,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,PIPEShiner2007Aug28,2007,8/28/2007 0:00:00,8/28/2007 0:00:00,main,5,R,2007,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,1,L,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,1,R,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,2,L,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,2,R,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,3,L,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,3,R,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,4,L,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,4,R,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,5,L,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,PIPEShiner2008Aug26,2008,8/26/2008 0:00:00,8/26/2008 0:00:00,main,5,R,2008,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,1,L,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,1,R,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,2,L,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,2,R,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,3,L,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,3,R,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,4,L,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,4,R,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,5,L,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2009Aug24,2009,8/24/2009 0:00:00,8/25/2009 0:00:00,PIPEShiner2009Aug25,2009,8/25/2009 0:00:00,8/25/2009 0:00:00,main,5,R,2009,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,main,1,R,2010,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,main,2,R,2010,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,main,3,R,2010,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,main,4,R,2010,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,PIPEShiner2010Aug31,2010,8/31/2010 0:00:00,8/31/2010 0:00:00,main,5,R,2010,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/14/2013 0:00:00,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/13/2013 0:00:00,main,1,L,2013,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/14/2013 0:00:00,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/13/2013 0:00:00,main,1,R,2013,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/14/2013 0:00:00,PIPEShiner2013Sep13,2013,9/13/2013 0:00:00,9/13/2013 0:00:00,main,2,L,2013,3,3,3,3,3,0
