ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,EventComments,Pct_CloudCover,WindIntensity,PrecipitationType,PrecipitationIntensity,SH_Springs_Present,SH_StreamFlow_Description,WeatherComments,AdditionalComments
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY30,5/30/2006 0:00:00,5/31/2006 0:00:00,,80,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May23,5/23/2007 0:00:00,5/23/2007 0:00:00,,50,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May22,5/22/2008 0:00:00,5/22/2008 0:00:00,,10,Calm,None,N/A,0,unknown,,0nly one point calibration for PH meter. Fish were hard to capture- felt the edge of the electric field and ran
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May28,5/28/2009 0:00:00,5/28/2009 0:00:00,,100,Light,None,N/A,0,unknown,cooler,Water higher than average.  Water clarity not clear--some milky coloration.
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010May26,5/26/2010 0:00:00,5/26/2010 0:00:00,,40,Calm,None,N/A,0,unknown,Rained day before in upper part of watershed,Water up about a foot from "Average" Turbidity moderate - about 2 foot visibility.
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013May28,5/28/2013 0:00:00,5/28/2013 0:00:00,Slight haze to water. but water levels normal.,100,Light,None,N/A,0,unknown,,Slight haze to water. but water levels normal.
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun09,6/9/2015 0:00:00,6/10/2015 0:00:00,,0,Calm,None,N/A,0,unknown,,50+ canoes floated by during sampling. Difficult to sample - had to shut down electrofhising equipment due to canoes
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun01,6/1/2017 0:00:00,6/1/2017 0:00:00,,30,Calm,None,N/A,0,unknown,,lots of deposited gravel and sand; Upper portion of reach filled in with gravel
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun12,6/12/2019 0:00:00,6/13/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,0,Light,None,N/A,0,unknown,Water murky/cloudy. Visability about 3 ft.,Due to high rain/flood events diversity & abundance low
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN01,6/1/2006 0:00:00,6/1/2006 0:00:00,,100,Light,None,N/A,0,unknown,Rained previous 2-3 hours. but no rain currently.,Boat and backpack fish were combined for mainstem habitat.
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May30,5/30/2007 0:00:00,5/30/2007 0:00:00,,90,Light,Rain,Light,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun03,6/3/2008 0:00:00,6/3/2008 0:00:00,,5,Light,None,N/A,0,unknown,,water was up and turbid. Hard  to see fish in deep water. Backpack shocking was limited. Site changed from previous  2 years. Riffle at lower end was against river right bank. Big gravel bar in middle
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun03,6/3/2009 0:00:00,6/3/2009 0:00:00,,100,Calm,Rain,Light,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun01,6/1/2010 0:00:00,6/1/2010 0:00:00,,10,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun19,6/19/2013 0:00:00,6/19/2013 0:00:00,,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun30,6/30/2015 0:00:00,6/30/2015 0:00:00,,0,Calm,None,N/A,0,unknown,morning fog burning off at time of measurments,turbidity a little higher than normal; water clarity about 3 ft; difficult to see fish in bluff pool
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun02,6/2/2017 0:00:00,6/2/2017 0:00:00,,10,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun14,6/14/2019 0:00:00,6/14/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,95,Light,None,N/A,0,unknown,,Watr clarity in bluff pool a little cloudy but could see the bottom.  Due to high rain/flood events diversity & abundance low
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023May25,5/25/2023 0:00:00,5/25/2023 0:00:00,,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN02,6/2/2006 0:00:00,6/2/2006 0:00:00,,95,Calm,None,N/A,0,unknown,Rained the night before.,
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May31,5/31/2007 0:00:00,5/31/2007 0:00:00,,50,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun04,6/4/2008 0:00:00,6/4/2008 0:00:00,,80,Calm,None,N/A,0,unknown,,water was up about 1 ft from previous years. Barge shocking was limited to the left and right edges of riffle/run section.
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun08,6/8/2009 0:00:00,6/8/2009 0:00:00,,75,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun03,6/3/2010 0:00:00,6/3/2010 0:00:00,,80,Calm,None,N/A,0,unknown,,Only sampled approximately half of reach because GPS waypoint was off at upper boundary.
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun17,6/17/2013 0:00:00,6/17/2013 0:00:00,,100,Calm,None,N/A,0,unknown,,Water low; not many sculpins and darters in riffle.
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jul01,7/1/2015 0:00:00,7/1/2015 0:00:00,,100,Calm,None,N/A,0,unknown,,river up about 0.5ft from normal; riffle was difficult to sample with tow barge; sampled riffle partially with boat
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun15,6/15/2017 0:00:00,6/15/2017 0:00:00,,95,Calm,None,N/A,0,unknown,light rain prior to sampling,
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun19,6/19/2019 0:00:00,6/19/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,90,Light,None,N/A,0,unknown,Rained around 7:30 am this morning,Low abundance and diversity due to rain events.
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun01,6/1/2023 0:00:00,6/1/2023 0:00:00,,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN12,6/12/2006 0:00:00,6/12/2006 0:00:00,,100,Calm,None,N/A,0,unknown,,no air temp taken.
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007Jun20,6/20/2007 0:00:00,6/20/2007 0:00:00,stopped shocking for about 2omins during last 15 mins of shocking due to heavy rain. Water cleared and we continued shocking,100,Moderate,None,N/A,0,unknown,heavy rain during last 15 mins of shocking,stopped shocking for ~ 20 min during last 15 min of shocking due to heavy rain. Water cleared and we continued shocking
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun05,6/5/2008 0:00:00,6/5/2008 0:00:00,,90,Moderate,None,N/A,0,unknown,,water was up about 2 ft from previous yr. current was swift and lots of sediment shifted. Backwaters gone and 1/3 of site was shallow(<3ft deep) with small sediment
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun09,6/9/2009 0:00:00,6/9/2009 0:00:00,,70,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun02,6/2/2010 0:00:00,6/2/2010 0:00:00,,10,Light,None,N/A,0,unknown,,Saw serveral hogsuckers that did not shock.
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun18,6/18/2013 0:00:00,6/18/2013 0:00:00,,80,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun14,6/14/2017 0:00:00,6/14/2017 0:00:00,,80,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun18,6/18/2019 0:00:00,6/18/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,75,Calm,None,N/A,0,unknown,Due to high rain/flood events diversity & abundance low.,Water slightly cloudy. Could see bottom.
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun07,6/7/2023 0:00:00,6/7/2023 0:00:00,,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN05,6/5/2006 0:00:00,6/5/2006 0:00:00,,2,Calm,None,N/A,0,unknown,,no ending air temp
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007Jun04,6/4/2007 0:00:00,6/4/2007 0:00:00,,20,Moderate,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun18,6/18/2008 0:00:00,6/19/2008 0:00:00,,25,Calm,None,N/A,0,unknown,,water higher than previous yrs. Mostly fast run habitat in 1st half of reach. Difficult to sample faster run habitat.
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009Jun10,6/10/2009 0:00:00,6/10/2009 0:00:00,,100,Calm,None,N/A,0,unknown,,Lots of deposited gravel and sand.  Center of reach very shallow riffle.
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010Jun09,6/9/2010 0:00:00,6/9/2010 0:00:00,,30,Light,None,N/A,0,unknown,,Two buckets of fish were thrown out before they were counted or measured - a bucket of Ozark Minnow and a bucket of Duskystripe Shiner.
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013Jun11,6/11/2013 0:00:00,6/11/2013 0:00:00,,0,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun21,6/21/2017 0:00:00,6/21/2017 0:00:00,,40,Calm,None,N/A,0,unknown,,a lot of deposited sand/gravel on river left and at downstream half of site.
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun20,6/20/2019 0:00:00,6/20/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,50,Moderate,None,N/A,0,unknown,Due to high rain/flood events diversity & abundance low.,
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun14,6/14/2023 0:00:00,6/14/2023 0:00:00,,0,Light,None,N/A,0,unknown,Rained ~1 hr before sampling for about 30 minutes,
Buffalo National River,BUFF,BUFFRMFISHBT01,01,Tributary,First riffle above water crossing,Smith Creek,Smith,Newton,279,BUFFT01,150,22.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May19,5/19/2009 0:00:00,5/19/2009 0:00:00,,0,Calm,None,N/A,0,unknown,,Water flow above normal due to high amounts of rainfall in prior weeks. Water clear but fast in some areas.
Buffalo National River,BUFF,BUFFRMFISHBT03,03,Tributary,Whiteley Creek - US Hwy 21; upstream of Hwy,Whiteley Creek,Whiteley,Newton,640,BUFFT03,150,14.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY22,5/22/2006 0:00:00,5/22/2006 0:00:00,,0,Calm,None,N/A,0,unknown,,Actual reach measured at 63m average.  Stream is spring influenced.
Buffalo National River,BUFF,BUFFRMFISHBT04,04,Tributary,Sneeds Creek. Downstream boundary is located at large boulder in center of channel 2 riffles upstream of stretch,Sneeds Creek,Sneeds,Newton,441,BUFFT04,150,12.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May21,5/21/2008 0:00:00,5/21/2008 0:00:00,,0,Calm,None,N/A,0,unknown,,only one point calibration done on PH meter
Buffalo National River,BUFF,BUFFRMFISHBT05,05,Tributary,end of fish reach located at second riffle upstream of second slab. Upper end of site located at bottom of riffle next to waterfall,Cecil Creek,Cecil,Newton,462,BUFFT05,232,59.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May21,5/21/2007 0:00:00,5/21/2007 0:00:00,habitat reach was 180. fish reach was 232,30,Light,None,N/A,0,unknown,,Habitat reach was 180m. fish reach was 232m
Buffalo National River,BUFF,BUFFRMFISHBT05,05,Tributary,end of fish reach located at second riffle upstream of second slab. Upper end of site located at bottom of riffle next to waterfall,Cecil Creek,Cecil,Newton,462,BUFFT05,232,59.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun03,6/3/2015 0:00:00,6/3/2015 0:00:00,,10,Calm,None,N/A,0,unknown,,creek high 2 weeks prior to sampling; water slightly turbid; lots of periphyton covering rocks
Buffalo National River,BUFF,BUFFRMFISHBT05,05,Tributary,end of fish reach located at second riffle upstream of second slab. Upper end of site located at bottom of riffle next to waterfall,Cecil Creek,Cecil,Newton,462,BUFFT05,232,59.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun05,6/5/2019 0:00:00,6/5/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,5,Calm,None,N/A,0,unknown,Due to high rain/flood events diversity and abundance low.,Old backpack ran out of battery with 15 m left in reach. used only new backpack to finish site. Creek flooded previous week before sample.
Buffalo National River,BUFF,BUFFRMFISHBT05,05,Tributary,end of fish reach located at second riffle upstream of second slab. Upper end of site located at bottom of riffle next to waterfall,Cecil Creek,Cecil,Newton,462,BUFFT05,232,59.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023Jun02,6/2/2023 0:00:00,6/2/2023 0:00:00,,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBT06,06,Tributary,Began at second riffle up from confluence with Buffalo River,Glade Creek,Glade,Newton,403,BUFFT06,150,6.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May19,5/19/2009 0:00:00,5/19/2009 0:00:00,,0,Light,None,N/A,0,unknown,,Lots of sediment deposited--clay/silt
Buffalo National River,BUFF,BUFFRMFISHBT07,07,Tributary,Mill creek at Pruitt,Mill Creek,Mill,Newton,646,BUFFT07,180,55.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May25,5/25/2007 0:00:00,5/25/2007 0:00:00,,90,Calm,None,N/A,0,unknown,,
