ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,EventComments,ChannelType,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,Units
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,11,10.00,31,0.19,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,12,11.00,13,0.13,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,13,12.00,10,0.05,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,14,13.00,18,0.08,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,15,14.00,8,0.02,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,16,15.00,6,0.03,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,17,16.00,2,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,18,17.00,1,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,1,0.00,0,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,2,1.00,0,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,3,2.00,4,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,4,3.00,14,0.01,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,5,4.00,22,0.17,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,6,5.00,24,0.10,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,7,6.00,26,0.33,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,8,7.00,32,0.24,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,9,8.00,38,0.47,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,10,9.00,40,0.38,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,11,10.00,42,0.49,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,12,11.00,40,0.53,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,13,12.00,42,0.34,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,14,13.00,40,0.42,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,15,14.00,38,0.53,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,16,15.00,28,0.43,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,17,16.00,28,0.34,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,18,17.00,10,0.10,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,19,18.00,14,0.12,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,20,19.00,8,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,1,0.00,0,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,2,1.00,14,0.03,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,3,2.00,16,0.04,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,4,3.00,24,0.04,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,5,4.00,30,0.08,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,6,5.00,38,0.15,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,7,6.00,54,0.12,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,8,7.00,50,0.19,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,9,8.00,54,0.21,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,10,9.00,58,0.23,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,11,10.00,62,0.20,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,12,11.00,56,0.17,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,13,12.00,52,0.19,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,14,13.00,56,0.18,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,15,14.00,48,0.08,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,16,15.00,47,0.16,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,17,16.00,42,0.10,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,18,17.00,38,0.20,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,19,18.00,34,0.05,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,20,19.00,20,0.09,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,21,20.00,22,0.02,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,22,21.00,21,0.01,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,23,22.00,2,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,1,0.00,14,0.00,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,2,1.00,18,0.02,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,3,2.00,22,0.11,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,4,3.00,29,0.17,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,5,4.00,30,0.41,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,6,5.00,50,0.41,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,7,6.00,40,0.41,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,8,7.00,51,0.40,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,9,8.00,58,0.33,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,10,9.00,61,0.40,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,11,10.00,56,0.36,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,12,11.00,48,0.40,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,13,12.00,48,0.40,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,14,13.00,40,0.39,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,15,14.00,33,0.36,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,16,15.00,38,0.37,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,17,16.00,34,0.41,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,18,17.00,22,0.27,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,19,18.00,16,0.27,,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,20,19.00,10,0.08,,metric
