Plot,EventDate,ContactName
AGFO16,Jun  8 2006,JTC
AGFO16,Jun  9 2004,KEM
AGFO16,Jun  9 2004,KSH
AGFO16,Jun  9 2004,PLB
AGFO17,Jun  3 2003,JTC
AGFO17,Jun  3 2003,KEM
AGFO17,Jun  3 2003,LLA
AGFO17,Jun  7 2004,KEM
AGFO17,Jun  7 2004,KSH
AGFO17,Jun  7 2004,PLB
AGFO17,Jun  7 2005,BAH
AGFO17,Jun  7 2005,HJE
AGFO17,Jun  7 2005,JLH
AGFO17,Jun  7 2006,BAH
AGFO17,Jun  7 2006,HJE
AGFO17,Jun  7 2006,JTC
AGFO17,May  8 2001,BDW
AGFO17,May  8 2001,DGP
AGFO17,May  8 2001,KEM
AGFO18,Jun  3 2003,JTC
AGFO18,Jun  3 2003,KEM
AGFO18,Jun  3 2003,LLA
AGFO18,Jun  7 2004,KEM
AGFO18,Jun  7 2004,KSH
AGFO18,Jun  7 2004,PLB
AGFO18,Jun  7 2005,BAH
AGFO18,Jun  7 2005,HJE
AGFO18,Jun  7 2005,JLH
AGFO18,Jun  7 2006,BAH
AGFO18,Jun  7 2006,DGP
AGFO18,Jun  7 2006,HJE
AGFO18,Jun  7 2006,JTC
AGFO18,May  8 2001,BDW
AGFO18,May  8 2001,DGP
AGFO18,May  8 2001,KEM
AGFO19,Jun  5 2003,DGP
AGFO19,Jun  5 2003,JTC
AGFO19,Jun  5 2003,KEM
AGFO19,Jun  5 2003,LLA
AGFO19,Jun  7 2004,DGP
AGFO19,Jun  7 2004,KEM
AGFO19,Jun  7 2004,KSH
AGFO19,Jun  7 2004,PLB
AGFO19,Jun  7 2005,BAH
AGFO19,Jun  7 2005,DGP
AGFO19,Jun  7 2005,HJE
AGFO19,Jun  7 2005,JLH
AGFO19,Jun  7 2006,BAH
AGFO19,Jun  7 2006,DGP
AGFO19,Jun  7 2006,HJE
AGFO19,Jun  7 2006,JTC
AGFO19,May  8 2001,BDW
AGFO19,May  8 2001,DGP
AGFO19,May  8 2001,KEM
AGFO2,Jun  4 2003,JTC
AGFO2,Jun  4 2003,KEM
AGFO2,Jun  4 2003,LLA
AGFO2,Jun  6 2005,BAH
AGFO2,Jun  6 2005,DGP
AGFO2,Jun  6 2005,HJE
AGFO2,Jun  6 2005,JLH
AGFO2,Jun  6 2006,BAH
AGFO2,Jun  6 2006,HJE
AGFO2,Jun  6 2006,JTC
AGFO2,Jun  8 2004,KEM
AGFO2,Jun  8 2004,KSH
AGFO2,Jun  8 2004,PLB
AGFO2,May  8 2001,BDW
AGFO2,May  8 2001,DGP
AGFO2,May  8 2001,KEM
AGFO20,Jun  5 2003,DGP
AGFO20,Jun  5 2003,JTC
AGFO20,Jun  5 2003,KEM
AGFO20,Jun  5 2003,LLA
AGFO20,Jun  7 2004,DGP
AGFO20,Jun  7 2004,KEM
AGFO20,Jun  7 2004,KSH
AGFO20,Jun  7 2004,PLB
AGFO20,Jun  7 2005,BAH
AGFO20,Jun  7 2005,DGP
AGFO20,Jun  7 2005,HJE
AGFO20,Jun  7 2006,BAH
AGFO20,Jun  7 2006,DGP
AGFO20,Jun  7 2006,HJE
AGFO20,Jun  7 2006,JTC
AGFO20,May  8 2001,BDW
AGFO20,May  8 2001,DGP
AGFO20,May  8 2001,KEM
AGFO21,Jun  5 2003,DGP
AGFO21,Jun  5 2003,JTC
AGFO21,Jun  5 2003,KEM
AGFO21,Jun  5 2003,LLA
AGFO21,Jun  7 2006,BAH
AGFO21,Jun  7 2006,HJE
AGFO21,Jun  7 2006,JTC
AGFO21,Jun  8 2005,BAH
AGFO21,Jun  8 2005,DGP
AGFO21,Jun  8 2005,HJE
AGFO21,Jun  9 2004,DGP
AGFO21,Jun  9 2004,KEM
AGFO21,Jun  9 2004,KSH
AGFO21,Jun  9 2004,PLB
AGFO21,May  9 2001,BDW
AGFO21,May  9 2001,DGP
AGFO21,May  9 2001,KEM
AGFO22,Jun  5 2003,DGP
AGFO22,Jun  5 2003,JTC
AGFO22,Jun  5 2003,KEM
AGFO22,Jun  5 2003,LLA
AGFO22,Jun  7 2006,BAH
AGFO22,Jun  7 2006,DGP
AGFO22,Jun  7 2006,HJE
AGFO22,Jun  7 2006,JTC
AGFO22,Jun  8 2005,BAH
AGFO22,Jun  8 2005,DGP
AGFO22,Jun  8 2005,HJE
AGFO22,Jun  8 2005,JLH
AGFO22,Jun  9 2004,DGP
AGFO22,Jun  9 2004,KEM
AGFO22,Jun  9 2004,KSH
AGFO22,Jun  9 2004,PLB
AGFO22,May 10 2001,BDW
AGFO22,May 10 2001,DGP
AGFO22,May 10 2001,KEM
AGFO23,Jun  5 2003,DGP
AGFO23,Jun  5 2003,JTC
AGFO23,Jun  5 2003,KEM
AGFO23,Jun  5 2003,LLA
AGFO23,Jun  7 2006,BAH
AGFO23,Jun  7 2006,DGP
AGFO23,Jun  7 2006,HJE
AGFO23,Jun  7 2006,JTC
AGFO23,Jun  8 2005,BAH
AGFO23,Jun  8 2005,DGP
AGFO23,Jun  8 2005,HJE
AGFO23,Jun  8 2005,JLH
AGFO23,Jun  9 2004,DGP
AGFO23,Jun  9 2004,KEM
AGFO23,Jun  9 2004,KSH
AGFO23,Jun  9 2004,PLB
AGFO23,May  9 2001,BDW
AGFO23,May  9 2001,DGP
AGFO23,May  9 2001,KEM
AGFO24,Jun  5 2003,DGP
AGFO24,Jun  5 2003,JTC
AGFO24,Jun  5 2003,KEM
AGFO24,Jun  5 2003,LLA
AGFO24,Jun  8 2005,BAH
AGFO24,Jun  8 2005,DGP
AGFO24,Jun  8 2005,HJE
AGFO24,Jun  8 2005,JLH
AGFO24,Jun  8 2006,BAH
AGFO24,Jun  8 2006,HJE
AGFO24,Jun  8 2006,JTC
AGFO24,Jun  9 2004,DGP
AGFO24,Jun  9 2004,KEM
AGFO24,Jun  9 2004,KSH
AGFO24,Jun  9 2004,PLB
AGFO24,May  9 2001,BDW
AGFO24,May  9 2001,DGP
AGFO24,May  9 2001,KEM
AGFO25,Jun  5 2003,DGP
AGFO25,Jun  5 2003,JTC
AGFO25,Jun  5 2003,KEM
AGFO25,Jun  5 2003,LLA
AGFO25,Jun  8 2005,BAH
AGFO25,Jun  8 2005,HJE
AGFO25,Jun  8 2005,JLH
AGFO25,Jun  8 2006,BAH
AGFO25,Jun  8 2006,HJE
AGFO25,Jun  8 2006,JTC
AGFO25,Jun  9 2004,DGP
AGFO25,Jun  9 2004,KEM
AGFO25,Jun  9 2004,KSH
AGFO25,Jun  9 2004,PLB
AGFO25,May  9 2001,BDW
AGFO25,May  9 2001,DGP
AGFO25,May  9 2001,KEM
AGFO26,Jun  5 2003,DGP
AGFO26,Jun  5 2003,JTC
AGFO26,Jun  5 2003,KEM
AGFO26,Jun  5 2003,LLA
AGFO26,Jun  8 2005,BAH
AGFO26,Jun  8 2005,DGP
AGFO26,Jun  8 2005,HJE
AGFO26,Jun  8 2005,JLH
AGFO26,Jun  8 2005,TWT
AGFO26,Jun  8 2006,BAH
AGFO26,Jun  8 2006,HJE
AGFO26,Jun  8 2006,JTC
AGFO26,Jun  9 2004,DGP
AGFO26,Jun  9 2004,KEM
AGFO26,Jun  9 2004,KSH
AGFO26,Jun  9 2004,PLB
AGFO26,May  7 2001,BDW
AGFO26,May  7 2001,DGP
AGFO26,May  7 2001,KEM
AGFO27,Jun  5 2003,DGP
AGFO27,Jun  5 2003,JTC
AGFO27,Jun  5 2003,KEM
AGFO27,Jun  5 2003,LLA
AGFO27,Jun  8 2005,BAH
AGFO27,Jun  8 2005,HJE
AGFO27,Jun  8 2005,JLH
AGFO27,Jun  8 2006,BAH
AGFO27,Jun  8 2006,HJE
AGFO27,Jun  8 2006,JTC
AGFO27,Jun  9 2004,KEM
AGFO27,Jun  9 2004,KSH
AGFO27,Jun  9 2004,PLB
AGFO27,May  9 2001,BDW
AGFO27,May  9 2001,DGP
AGFO27,May  9 2001,KEM
AGFO28,Jun  5 2003,DGP
AGFO28,Jun  5 2003,JTC
AGFO28,Jun  5 2003,KEM
AGFO28,Jun  5 2003,LLA
AGFO28,Jun  8 2005,BAH
AGFO28,Jun  8 2005,HJE
AGFO28,Jun  8 2005,JLH
AGFO28,Jun  8 2006,BAH
AGFO28,Jun  8 2006,HJE
AGFO28,Jun  8 2006,JTC
AGFO28,Jun  9 2004,KEM
AGFO28,Jun  9 2004,KSH
AGFO28,Jun  9 2004,PLB
AGFO28,May  9 2001,BDW
AGFO28,May  9 2001,DGP
AGFO28,May  9 2001,KEM
AGFO29,Jun  5 2003,JTC
AGFO29,Jun  5 2003,KEM
AGFO29,Jun  5 2003,LLA
AGFO29,Jun  8 2005,BAH
AGFO29,Jun  8 2005,HJE
AGFO29,Jun  8 2005,JLH
AGFO29,Jun  8 2006,BAH
AGFO29,Jun  8 2006,HJE
AGFO29,Jun  8 2006,JTC
AGFO29,Jun  9 2004,KEM
AGFO29,Jun  9 2004,KSH
AGFO29,Jun  9 2004,PLB
AGFO29,May  7 2001,BDW
AGFO29,May  7 2001,DGP
AGFO29,May  7 2001,KEM
AGFO3,Jun  5 2003,JTC
AGFO3,Jun  5 2003,KEM
AGFO3,Jun  5 2003,LLA
AGFO3,Jun  7 2004,DGP
AGFO3,Jun  7 2004,KEM
AGFO3,Jun  7 2004,KSH
AGFO3,Jun  7 2004,PLB
AGFO3,Jun  7 2005,BAH
AGFO3,Jun  7 2005,DGP
AGFO3,Jun  7 2005,HJE
AGFO3,Jun  7 2005,JLH
AGFO3,Jun  8 2006,BAH
AGFO3,Jun  8 2006,DGP
AGFO3,Jun  8 2006,HJE
AGFO3,Jun  8 2006,JTC
AGFO30,Jun  5 2003,JTC
AGFO30,Jun  5 2003,KEM
AGFO30,Jun  5 2003,LLA
AGFO30,Jun  8 2005,BAH
AGFO30,Jun  8 2005,HJE
AGFO30,Jun  8 2005,JLH
AGFO30,Jun  8 2006,BAH
AGFO30,Jun  8 2006,HJE
AGFO30,Jun  8 2006,JTC
AGFO30,Jun  9 2004,KEM
AGFO30,Jun  9 2004,KSH
AGFO30,Jun  9 2004,PLB
AGFO30,May  9 2001,BDW
AGFO30,May  9 2001,DGP
AGFO30,May  9 2001,KEM
AGFO31,Jun  6 2003,JTC
AGFO31,Jun  6 2003,KEM
AGFO31,Jun  6 2003,LLA
AGFO31,Jun  6 2005,BAH
AGFO31,Jun  6 2005,HJE
AGFO31,Jun  6 2005,JLH
AGFO31,Jun  6 2006,BAH
AGFO31,Jun  6 2006,DGP
AGFO31,Jun  6 2006,HJE
AGFO31,Jun  6 2006,JTC
AGFO31,Jun  8 2004,DGP
AGFO31,Jun  8 2004,KEM
AGFO31,Jun  8 2004,KSH
AGFO31,Jun  8 2004,PLB
AGFO32,Jun  4 2003,DGP
AGFO32,Jun  4 2003,JTC
AGFO32,Jun  4 2003,KEM
AGFO32,Jun  4 2003,LLA
AGFO32,Jun  6 2005,BAH
AGFO32,Jun  6 2005,HJE
AGFO32,Jun  6 2005,JLH
AGFO32,Jun  6 2006,BAH
AGFO32,Jun  6 2006,DGP
AGFO32,Jun  6 2006,HJE
AGFO32,Jun  6 2006,JTC
AGFO32,Jun  8 2004,DGP
AGFO32,Jun  8 2004,KEM
AGFO32,Jun  8 2004,KSH
AGFO32,Jun  8 2004,PLB
AGFO33,Jun  4 2003,JTC
AGFO33,Jun  4 2003,KEM
AGFO33,Jun  4 2003,LLA
AGFO33,Jun  6 2005,BAH
AGFO33,Jun  6 2005,DGP
AGFO33,Jun  6 2005,HJE
AGFO33,Jun  6 2005,JLH
AGFO33,Jun  6 2006,BAH
AGFO33,Jun  6 2006,HJE
AGFO33,Jun  6 2006,JTC
AGFO33,Jun  8 2004,KEM
AGFO33,Jun  8 2004,KSH
AGFO33,Jun  8 2004,PLB
AGFO34,Jun  6 2003,JTC
AGFO34,Jun  6 2003,KEM
AGFO34,Jun  6 2003,LLA
AGFO34,Jun  6 2005,BAH
AGFO34,Jun  6 2005,HJE
AGFO34,Jun  6 2005,JLH
AGFO34,Jun  6 2006,BAH
AGFO34,Jun  6 2006,DGP
AGFO34,Jun  6 2006,HJE
AGFO34,Jun  6 2006,JTC
AGFO34,Jun  8 2004,DGP
AGFO34,Jun  8 2004,KEM
AGFO34,Jun  8 2004,KSH
AGFO34,Jun  8 2004,PLB
AGFO35,Jun  4 2003,DGP
AGFO35,Jun  4 2003,JTC
AGFO35,Jun  4 2003,KEM
AGFO35,Jun  4 2003,LLA
AGFO35,Jun  6 2005,BAH
AGFO35,Jun  6 2005,HJE
AGFO35,Jun  6 2005,JLH
AGFO35,Jun  6 2006,BAH
AGFO35,Jun  6 2006,DGP
AGFO35,Jun  6 2006,JTC
AGFO35,Jun  8 2004,DGP
AGFO35,Jun  8 2004,KEM
AGFO35,Jun  8 2004,KSH
AGFO35,Jun  8 2004,PLB
AGFO36,Jun  3 2003,JTC
AGFO36,Jun  3 2003,KEM
AGFO36,Jun  3 2003,LLA
AGFO36,Jun  7 2004,KEM
AGFO36,Jun  7 2004,KSH
AGFO36,Jun  7 2004,PLB
AGFO36,Jun  7 2005,BAH
AGFO36,Jun  7 2005,DGP
AGFO36,Jun  7 2005,HJE
AGFO36,Jun  7 2005,JLH
AGFO36,Jun  7 2006,BAH
AGFO36,Jun  7 2006,HJE
AGFO36,Jun  7 2006,JTC
AGFO37,Jun  4 2003,DGP
AGFO37,Jun  4 2003,JTC
AGFO37,Jun  4 2003,KEM
AGFO37,Jun  4 2003,LLA
AGFO37,Jun  6 2005,DGP
AGFO37,Jun  6 2005,HJE
AGFO37,Jun  6 2005,JLH
AGFO37,Jun  6 2006,BAH
AGFO37,Jun  6 2006,HJE
AGFO37,Jun  6 2006,JTC
AGFO37,Jun  8 2004,DGP
AGFO37,Jun  8 2004,KEM
AGFO37,Jun  8 2004,KSH
AGFO37,Jun  8 2004,PLB
AGFO38,Jun  4 2003,DGP
AGFO38,Jun  4 2003,JTC
AGFO38,Jun  4 2003,KEM
AGFO38,Jun  4 2003,LLA
AGFO38,Jun  6 2005,HJE
AGFO38,Jun  6 2005,JLH
AGFO38,Jun  6 2006,BAH
AGFO38,Jun  6 2006,DGP
AGFO38,Jun  6 2006,HJE
AGFO38,Jun  6 2006,JTC
AGFO38,Jun  8 2004,DGP
AGFO38,Jun  8 2004,KEM
AGFO38,Jun  8 2004,KSH
AGFO38,Jun  8 2004,PLB
AGFO39,Jun  4 2003,DGP
AGFO39,Jun  4 2003,JTC
AGFO39,Jun  4 2003,KEM
AGFO39,Jun  4 2003,LLA
AGFO39,Jun  6 2005,HJE
AGFO39,Jun  6 2005,JLH
AGFO39,Jun  6 2006,BAH
AGFO39,Jun  6 2006,HJE
AGFO39,Jun  6 2006,JTC
AGFO39,Jun  8 2004,KEM
AGFO39,Jun  8 2004,KSH
AGFO39,Jun  8 2004,PLB
AGFO4,Jun  5 2003,JTC
AGFO4,Jun  5 2003,KEM
AGFO4,Jun  5 2003,LLA
AGFO4,Jun  8 2005,BAH
AGFO4,Jun  8 2005,HJE
AGFO4,Jun  8 2005,JLH
AGFO4,Jun  8 2006,BAH
AGFO4,Jun  8 2006,DGP
AGFO4,Jun  8 2006,HJE
AGFO4,Jun  8 2006,JTC
AGFO4,Jun  9 2004,DGP
AGFO4,Jun  9 2004,KEM
AGFO4,Jun  9 2004,KSH
AGFO4,Jun  9 2004,PLB
AGFO4,May  7 2001,BDW
AGFO4,May  7 2001,DGP
AGFO4,May  7 2001,KEM
AGFO40,Jun  4 2003,DGP
AGFO40,Jun  4 2003,JTC
AGFO40,Jun  4 2003,KEM
AGFO40,Jun  4 2003,LLA
AGFO40,Jun  6 2005,HJE
AGFO40,Jun  6 2005,JLH
AGFO40,Jun  6 2006,BAH
AGFO40,Jun  6 2006,DGP
AGFO40,Jun  6 2006,HJE
AGFO40,Jun  6 2006,JTC
AGFO40,Jun  8 2004,DGP
AGFO40,Jun  8 2004,KEM
AGFO40,Jun  8 2004,KSH
AGFO40,Jun  8 2004,PLB
AGFO41,Jun  3 2003,JTC
AGFO41,Jun  3 2003,KEM
AGFO41,Jun  3 2003,LLA
AGFO41,Jun  7 2004,KEM
AGFO41,Jun  7 2004,KSH
AGFO41,Jun  7 2004,PLB
AGFO41,Jun  7 2005,BAH
AGFO41,Jun  7 2005,HJE
AGFO41,Jun  7 2005,JLH
AGFO41,Jun  7 2006,BAH
AGFO41,Jun  7 2006,HJE
AGFO41,Jun  7 2006,JTC
AGFO42,Jun  4 2003,DGP
AGFO42,Jun  4 2003,JTC
AGFO42,Jun  4 2003,KEM
AGFO42,Jun  4 2003,LLA
AGFO42,Jun  6 2005,BAH
AGFO42,Jun  6 2005,DGP
AGFO42,Jun  6 2005,HJE
AGFO42,Jun  6 2005,JLH
AGFO42,Jun  6 2006,BAH
AGFO42,Jun  6 2006,HJE
AGFO42,Jun  6 2006,JTC
AGFO42,Jun  8 2004,KEM
AGFO42,Jun  8 2004,KSH
AGFO42,Jun  8 2004,PLB
AGFO43,Jun  4 2003,DGP
AGFO43,Jun  4 2003,JTC
AGFO43,Jun  4 2003,KEM
AGFO43,Jun  4 2003,LLA
AGFO43,Jun  6 2005,HJE
AGFO43,Jun  6 2005,JLH
AGFO43,Jun  6 2006,BAH
AGFO43,Jun  6 2006,DGP
AGFO43,Jun  6 2006,HJE
AGFO43,Jun  6 2006,JTC
AGFO43,Jun  8 2004,DGP
AGFO43,Jun  8 2004,KEM
AGFO43,Jun  8 2004,KSH
AGFO43,Jun  8 2004,PLB
AGFO44,Jun  4 2003,JTC
AGFO44,Jun  4 2003,KEM
AGFO44,Jun  4 2003,LLA
AGFO44,Jun  6 2005,BAH
AGFO44,Jun  6 2005,DGP
AGFO44,Jun  6 2005,HJE
AGFO44,Jun  6 2005,JLH
AGFO44,Jun  6 2006,BAH
AGFO44,Jun  6 2006,HJE
AGFO44,Jun  6 2006,JTC
AGFO44,Jun  8 2004,KEM
AGFO44,Jun  8 2004,KSH
AGFO44,Jun  8 2004,PLB
AGFO45,Jun  4 2003,DGP
AGFO45,Jun  4 2003,JTC
AGFO45,Jun  4 2003,KEM
AGFO45,Jun  4 2003,LLA
AGFO45,Jun  6 2005,DGP
AGFO45,Jun  6 2005,HJE
AGFO45,Jun  6 2005,JLH
AGFO45,Jun  6 2006,BAH
AGFO45,Jun  6 2006,HJE
AGFO45,Jun  6 2006,JTC
AGFO45,Jun  8 2004,DGP
AGFO45,Jun  8 2004,KEM
AGFO45,Jun  8 2004,KSH
AGFO45,Jun  8 2004,PLB
AGFO46,Jun  4 2003,DGP
AGFO46,Jun  4 2003,JTC
AGFO46,Jun  4 2003,KEM
AGFO46,Jun  4 2003,LLA
AGFO46,Jun  6 2005,DGP
AGFO46,Jun  6 2005,HJE
AGFO46,Jun  6 2005,JLH
AGFO46,Jun  6 2006,BAH
AGFO46,Jun  6 2006,HJE
AGFO46,Jun  6 2006,JTC
AGFO46,Jun  8 2004,KEM
AGFO46,Jun  8 2004,KSH
AGFO46,Jun  8 2004,PLB
AGFO47,Jun  3 2003,JTC
AGFO47,Jun  3 2003,KEM
AGFO47,Jun  3 2003,LLA
AGFO47,Jun  7 2004,KEM
AGFO47,Jun  7 2004,KSH
AGFO47,Jun  7 2004,PLB
AGFO47,Jun  7 2005,DGP
AGFO47,Jun  7 2005,HJE
AGFO47,Jun  7 2005,JLH
AGFO47,Jun  7 2006,BAH
AGFO47,Jun  7 2006,HJE
AGFO47,Jun  7 2006,JTC
AGFO48,Jun  4 2003,JTC
AGFO48,Jun  4 2003,KEM
AGFO48,Jun  4 2003,LLA
AGFO48,Jun  6 2005,BAH
AGFO48,Jun  6 2005,DGP
AGFO48,Jun  6 2005,HJE
AGFO48,Jun  6 2005,JLH
AGFO48,Jun  6 2006,BAH
AGFO48,Jun  6 2006,HJE
AGFO48,Jun  6 2006,JTC
AGFO48,Jun  8 2004,KEM
AGFO48,Jun  8 2004,KSH
AGFO48,Jun  8 2004,PLB
AGFO49,Jun  4 2003,DGP
AGFO49,Jun  4 2003,JTC
AGFO49,Jun  4 2003,KEM
AGFO49,Jun  4 2003,LLA
AGFO49,Jun  6 2005,DGP
AGFO49,Jun  6 2005,HJE
AGFO49,Jun  6 2005,JLH
AGFO49,Jun  6 2006,BAH
AGFO49,Jun  6 2006,HJE
AGFO49,Jun  6 2006,JTC
AGFO49,Jun  8 2004,KEM
AGFO49,Jun  8 2004,KSH
AGFO49,Jun  8 2004,PLB
AGFO5,Jun  5 2003,JTC
AGFO5,Jun  5 2003,KEM
AGFO5,Jun  5 2003,LLA
AGFO5,Jun  7 2004,DGP
AGFO5,Jun  7 2004,KEM
AGFO5,Jun  7 2004,KSH
AGFO5,Jun  7 2004,PLB
AGFO5,Jun  8 2005,BAH
AGFO5,Jun  8 2005,DGP
AGFO5,Jun  8 2005,HJE
AGFO5,Jun  8 2005,JLH
AGFO5,Jun  8 2006,BAH
AGFO5,Jun  8 2006,DGP
AGFO5,Jun  8 2006,HJE
AGFO5,Jun  8 2006,JTC
AGFO5,May  9 2001,BDW
AGFO5,May  9 2001,DGP
AGFO5,May  9 2001,KEM
AGFO50,Jun  3 2003,JTC
AGFO50,Jun  3 2003,KEM
AGFO50,Jun  3 2003,LLA
AGFO50,Jun  7 2004,KEM
AGFO50,Jun  7 2004,KSH
AGFO50,Jun  7 2004,PLB
AGFO50,Jun  7 2005,BAH
AGFO50,Jun  7 2005,HJE
AGFO50,Jun  7 2005,JLH
AGFO50,Jun  7 2006,BAH
AGFO50,Jun  7 2006,HJE
AGFO50,Jun  7 2006,JTC
AGFO51,Jun  5 2003,JTC
AGFO51,Jun  5 2003,KEM
AGFO51,Jun  5 2003,LLA
AGFO51,Jun  8 2005,BAH
AGFO51,Jun  8 2005,HJE
AGFO51,Jun  8 2005,JLH
AGFO51,Jun  8 2006,BAH
AGFO51,Jun  8 2006,HJE
AGFO51,Jun  8 2006,JTC
AGFO51,Jun  9 2004,KEM
AGFO51,Jun  9 2004,KSH
AGFO51,Jun  9 2004,PLB
AGFO52,Jun  3 2003,DGP
AGFO52,Jun  3 2003,JTC
AGFO52,Jun  3 2003,KEM
AGFO52,Jun  3 2003,LLA
AGFO52,Jun  7 2004,DGP
AGFO52,Jun  7 2004,KEM
AGFO52,Jun  7 2004,KSH
AGFO52,Jun  7 2004,PLB
AGFO52,Jun  7 2005,BAH
AGFO52,Jun  7 2005,DGP
AGFO52,Jun  7 2005,HJE
AGFO52,Jun  7 2005,JLH
AGFO52,Jun  7 2006,BAH
AGFO52,Jun  7 2006,HJE
AGFO52,Jun  7 2006,JTC
AGFO53,Jun  6 2003,JTC
AGFO53,Jun  6 2003,KEM
AGFO53,Jun  6 2003,LLA
AGFO53,Jun  8 2006,BAH
AGFO53,Jun  8 2006,HJE
AGFO53,Jun  8 2006,JTC
AGFO53,Jun  9 2005,BAH
AGFO53,Jun  9 2005,HJE
AGFO53,Jun  9 2005,JLH
AGFO53,Jun 10 2004,KEM
AGFO53,Jun 10 2004,KSH
AGFO53,Jun 10 2004,PLB
AGFO54,Jun  6 2003,DGP
AGFO54,Jun  6 2003,JTC
AGFO54,Jun  6 2003,KEM
AGFO54,Jun  6 2003,LLA
AGFO54,Jun  8 2006,BAH
AGFO54,Jun  8 2006,HJE
AGFO54,Jun  8 2006,JTC
AGFO54,Jun  9 2005,BAH
