Plot,SubPlot,EventDate,CanopyType,ReadingNumber,DotScore
ARPO13,1,Jun  8 2011,Hardwood,4,96
ARPO13,1,Jun  8 2011,Total,1,96
ARPO13,1,Jun  8 2011,Total,2,94
ARPO13,1,Jun  8 2011,Total,3,94
ARPO13,1,Jun  8 2011,Total,4,96
ARPO13,1,May 18 2015,Hardwood,1,95
ARPO13,1,May 18 2015,Hardwood,2,96
ARPO13,1,May 18 2015,Hardwood,3,96
ARPO13,1,May 18 2015,Hardwood,4,94
ARPO13,1,May 18 2015,Total,1,95
ARPO13,1,May 18 2015,Total,2,96
ARPO13,1,May 18 2015,Total,3,96
ARPO13,1,May 18 2015,Total,4,94
ARPO13,1,May 21 2019,Hardwood,1,83
ARPO13,1,May 21 2019,Hardwood,2,85
ARPO13,1,May 21 2019,Hardwood,3,89
ARPO13,1,May 21 2019,Hardwood,4,86
ARPO13,1,May 21 2019,Total,1,83
ARPO13,1,May 21 2019,Total,2,85
ARPO13,1,May 21 2019,Total,3,89
ARPO13,1,May 21 2019,Total,4,86
ARPO14,1,Jun  6 2007,Hardwood,1,96
ARPO14,1,Jun  6 2007,Hardwood,2,96
ARPO14,1,Jun  6 2007,Hardwood,3,91
ARPO14,1,Jun  6 2007,Hardwood,4,94
ARPO14,1,Jun  6 2007,Total,1,96
ARPO14,1,Jun  6 2007,Total,2,96
ARPO14,1,Jun  6 2007,Total,3,91
ARPO14,1,Jun  6 2007,Total,4,94
ARPO14,1,Jun  8 2011,Hardwood,1,90
ARPO14,1,Jun  8 2011,Hardwood,2,96
ARPO14,1,Jun  8 2011,Hardwood,3,93
ARPO14,1,Jun  8 2011,Hardwood,4,90
ARPO14,1,Jun  8 2011,Total,1,90
ARPO14,1,Jun  8 2011,Total,2,96
ARPO14,1,Jun  8 2011,Total,3,93
ARPO14,1,Jun  8 2011,Total,4,90
ARPO14,1,May 18 2015,Hardwood,1,86
ARPO14,1,May 18 2015,Hardwood,2,93
ARPO14,1,May 18 2015,Hardwood,3,90
ARPO14,1,May 18 2015,Hardwood,4,90
ARPO14,1,May 18 2015,Total,1,86
ARPO14,1,May 18 2015,Total,2,93
ARPO14,1,May 18 2015,Total,3,90
ARPO14,1,May 18 2015,Total,4,90
ARPO14,1,May 21 2019,Hardwood,1,74
ARPO14,1,May 21 2019,Hardwood,2,76
ARPO14,1,May 21 2019,Hardwood,3,84
ARPO14,1,May 21 2019,Hardwood,4,87
ARPO14,1,May 21 2019,Total,1,74
ARPO14,1,May 21 2019,Total,2,76
ARPO14,1,May 21 2019,Total,3,84
ARPO14,1,May 21 2019,Total,4,87
ARPO15,1,Jun  6 2007,Hardwood,1,79
ARPO15,1,Jun  6 2007,Hardwood,2,84
ARPO15,1,Jun  6 2007,Hardwood,3,63
ARPO15,1,Jun  6 2007,Hardwood,4,83
ARPO15,1,Jun  6 2007,Total,1,79
ARPO15,1,Jun  6 2007,Total,2,84
ARPO15,1,Jun  6 2007,Total,3,63
ARPO15,1,Jun  6 2007,Total,4,83
ARPO15,1,Jun  8 2011,Hardwood,1,96
ARPO15,1,Jun  8 2011,Hardwood,2,96
ARPO15,1,Jun  8 2011,Hardwood,3,96
ARPO15,1,Jun  8 2011,Hardwood,4,96
ARPO15,1,Jun  8 2011,Total,1,96
ARPO15,1,Jun  8 2011,Total,2,96
ARPO15,1,Jun  8 2011,Total,3,96
ARPO15,1,Jun  8 2011,Total,4,96
ARPO15,1,May 18 2015,Hardwood,1,93
ARPO15,1,May 18 2015,Hardwood,2,95
ARPO15,1,May 18 2015,Hardwood,3,96
ARPO15,1,May 18 2015,Hardwood,4,96
ARPO15,1,May 18 2015,Total,1,93
ARPO15,1,May 18 2015,Total,2,95
ARPO15,1,May 18 2015,Total,3,96
ARPO15,1,May 18 2015,Total,4,96
ARPO15,1,May 21 2019,Hardwood,1,87
ARPO15,1,May 21 2019,Hardwood,2,87
ARPO15,1,May 21 2019,Hardwood,3,89
ARPO15,1,May 21 2019,Hardwood,4,90
ARPO15,1,May 21 2019,Total,1,87
ARPO15,1,May 21 2019,Total,2,87
ARPO15,1,May 21 2019,Total,3,89
ARPO15,1,May 21 2019,Total,4,90
ARPO16,1,Jun  5 2007,Hardwood,1,96
ARPO16,1,Jun  5 2007,Hardwood,2,96
ARPO16,1,Jun  5 2007,Hardwood,3,93
ARPO16,1,Jun  5 2007,Hardwood,4,96
ARPO16,1,Jun  5 2007,Total,1,96
ARPO16,1,Jun  5 2007,Total,2,96
ARPO16,1,Jun  5 2007,Total,3,93
ARPO16,1,Jun  5 2007,Total,4,96
ARPO16,1,Jun  8 2011,Hardwood,1,96
ARPO16,1,Jun  8 2011,Hardwood,2,94
ARPO16,1,Jun  8 2011,Hardwood,3,93
ARPO16,1,Jun  8 2011,Hardwood,4,95
ARPO16,1,Jun  8 2011,Total,1,96
ARPO16,1,Jun  8 2011,Total,2,94
ARPO16,1,Jun  8 2011,Total,3,93
ARPO16,1,Jun  8 2011,Total,4,95
ARPO16,1,May 18 2015,Hardwood,1,90
ARPO16,1,May 18 2015,Hardwood,2,70
ARPO16,1,May 18 2015,Hardwood,3,88
ARPO16,1,May 18 2015,Hardwood,4,96
ARPO16,1,May 18 2015,Total,1,90
ARPO16,1,May 18 2015,Total,2,70
ARPO16,1,May 18 2015,Total,3,88
ARPO16,1,May 18 2015,Total,4,96
ARPO16,1,May 21 2019,Hardwood,1,89
ARPO16,1,May 21 2019,Hardwood,2,90
ARPO16,1,May 21 2019,Hardwood,3,79
ARPO16,1,May 21 2019,Hardwood,4,88
ARPO16,1,May 21 2019,Total,1,89
ARPO16,1,May 21 2019,Total,2,90
ARPO16,1,May 21 2019,Total,3,79
ARPO16,1,May 21 2019,Total,4,88
ARPO17,1,Jun  5 2007,Hardwood,1,96
ARPO17,1,Jun  5 2007,Hardwood,2,96
ARPO17,1,Jun  5 2007,Hardwood,3,96
ARPO17,1,Jun  5 2007,Hardwood,4,95
ARPO17,1,Jun  5 2007,Total,1,96
ARPO17,1,Jun  5 2007,Total,2,96
ARPO17,1,Jun  5 2007,Total,3,96
ARPO17,1,Jun  5 2007,Total,4,95
ARPO17,1,Jun  8 2011,Hardwood,1,94
ARPO17,1,Jun  8 2011,Hardwood,2,94
ARPO17,1,Jun  8 2011,Hardwood,3,94
ARPO17,1,Jun  8 2011,Hardwood,4,94
ARPO17,1,Jun  8 2011,Total,1,94
ARPO17,1,Jun  8 2011,Total,2,94
ARPO17,1,Jun  8 2011,Total,3,94
ARPO17,1,Jun  8 2011,Total,4,94
ARPO17,1,May 18 2015,Hardwood,1,92
ARPO17,1,May 18 2015,Hardwood,2,91
ARPO17,1,May 18 2015,Hardwood,3,94
ARPO17,1,May 18 2015,Hardwood,4,95
ARPO17,1,May 18 2015,Total,1,92
ARPO17,1,May 18 2015,Total,2,91
ARPO17,1,May 18 2015,Total,3,94
ARPO17,1,May 18 2015,Total,4,95
ARPO17,1,May 21 2019,Hardwood,1,87
ARPO17,1,May 21 2019,Hardwood,2,81
ARPO17,1,May 21 2019,Hardwood,3,86
ARPO17,1,May 21 2019,Hardwood,4,79
ARPO17,1,May 21 2019,Total,1,87
ARPO17,1,May 21 2019,Total,2,81
ARPO17,1,May 21 2019,Total,3,86
ARPO17,1,May 21 2019,Total,4,79
ARPO18,1,Jun  6 2007,Hardwood,1,78
ARPO18,1,Jun  6 2007,Hardwood,2,77
ARPO18,1,Jun  6 2007,Hardwood,3,95
ARPO18,1,Jun  6 2007,Hardwood,4,90
ARPO18,1,Jun  6 2007,Total,1,78
ARPO18,1,Jun  6 2007,Total,2,77
ARPO18,1,Jun  6 2007,Total,3,95
ARPO18,1,Jun  6 2007,Total,4,90
ARPO18,1,Jun  8 2011,Hardwood,1,96
ARPO18,1,Jun  8 2011,Hardwood,2,94
ARPO18,1,Jun  8 2011,Hardwood,3,94
ARPO18,1,Jun  8 2011,Hardwood,4,95
ARPO18,1,Jun  8 2011,Total,1,96
ARPO18,1,Jun  8 2011,Total,2,94
ARPO18,1,Jun  8 2011,Total,3,94
ARPO18,1,Jun  8 2011,Total,4,95
ARPO18,1,May 18 2015,Hardwood,1,94
ARPO18,1,May 18 2015,Hardwood,2,92
ARPO18,1,May 18 2015,Hardwood,3,94
ARPO18,1,May 18 2015,Hardwood,4,92
ARPO18,1,May 18 2015,Total,1,94
ARPO18,1,May 18 2015,Total,2,92
ARPO18,1,May 18 2015,Total,3,94
ARPO18,1,May 18 2015,Total,4,92
ARPO18,1,May 20 2019,Hardwood,1,88
ARPO18,1,May 20 2019,Hardwood,2,86
ARPO18,1,May 20 2019,Hardwood,3,92
ARPO18,1,May 20 2019,Hardwood,4,91
ARPO18,1,May 20 2019,Total,1,88
ARPO18,1,May 20 2019,Total,2,86
ARPO18,1,May 20 2019,Total,3,92
ARPO18,1,May 20 2019,Total,4,91
ARPO19,1,Jun  6 2007,Conifer,1,10
ARPO19,1,Jun  6 2007,Hardwood,1,84
ARPO19,1,Jun  6 2007,Hardwood,2,75
ARPO19,1,Jun  6 2007,Hardwood,3,52
ARPO19,1,Jun  6 2007,Hardwood,4,93
ARPO19,1,Jun  6 2007,Total,1,94
ARPO19,1,Jun  6 2007,Total,2,75
ARPO19,1,Jun  6 2007,Total,3,52
ARPO19,1,Jun  6 2007,Total,4,93
ARPO19,1,Jun  8 2011,Conifer,1,20
ARPO19,1,Jun  8 2011,Conifer,2,4
ARPO19,1,Jun  8 2011,Conifer,3,0
ARPO19,1,Jun  8 2011,Conifer,4,0
ARPO19,1,Jun  8 2011,Hardwood,1,96
ARPO19,1,Jun  8 2011,Hardwood,2,96
ARPO19,1,Jun  8 2011,Hardwood,3,76
ARPO19,1,Jun  8 2011,Hardwood,4,96
ARPO19,1,Jun  8 2011,Total,1,96
ARPO19,1,Jun  8 2011,Total,2,96
ARPO19,1,Jun  8 2011,Total,3,96
ARPO19,1,Jun  8 2011,Total,4,96
ARPO19,1,May 18 2015,Hardwood,1,91
ARPO19,1,May 18 2015,Hardwood,2,95
ARPO19,1,May 18 2015,Hardwood,3,91
ARPO19,1,May 18 2015,Hardwood,4,87
ARPO19,1,May 18 2015,Total,1,91
ARPO19,1,May 18 2015,Total,2,95
ARPO19,1,May 18 2015,Total,3,91
ARPO19,1,May 18 2015,Total,4,87
ARPO19,1,May 21 2019,Hardwood,1,85
ARPO19,1,May 21 2019,Hardwood,2,81
ARPO19,1,May 21 2019,Hardwood,3,64
ARPO19,1,May 21 2019,Hardwood,4,79
ARPO19,1,May 21 2019,Total,1,85
ARPO19,1,May 21 2019,Total,2,81
ARPO19,1,May 21 2019,Total,3,64
ARPO19,1,May 21 2019,Total,4,79
ARPO2,1,Jun  5 2007,Conifer,4,2
ARPO2,1,Jun  5 2007,Hardwood,1,96
ARPO2,1,Jun  5 2007,Hardwood,2,96
ARPO2,1,Jun  5 2007,Hardwood,3,96
ARPO2,1,Jun  5 2007,Hardwood,4,94
ARPO2,1,Jun  5 2007,Total,1,96
ARPO2,1,Jun  5 2007,Total,2,96
ARPO2,1,Jun  5 2007,Total,3,96
ARPO2,1,Jun  5 2007,Total,4,96
ARPO2,1,Jun  8 2011,Conifer,1,80
ARPO2,1,Jun  8 2011,Conifer,2,72
ARPO2,1,Jun  8 2011,Conifer,3,20
ARPO2,1,Jun  8 2011,Conifer,4,60
ARPO2,1,Jun  8 2011,Hardwood,1,25
ARPO2,1,Jun  8 2011,Hardwood,2,16
ARPO2,1,Jun  8 2011,Hardwood,3,56
ARPO2,1,Jun  8 2011,Hardwood,4,70
ARPO2,1,Jun  8 2011,Total,1,96
ARPO2,1,Jun  8 2011,Total,2,95
ARPO2,1,Jun  8 2011,Total,3,94
ARPO2,1,Jun  8 2011,Total,4,94
ARPO2,1,May 18 2015,Hardwood,1,40
ARPO2,1,May 18 2015,Hardwood,2,89
ARPO2,1,May 18 2015,Hardwood,3,88
ARPO2,1,May 18 2015,Hardwood,4,95
ARPO2,1,May 18 2015,Total,1,40
ARPO2,1,May 18 2015,Total,2,89
ARPO2,1,May 18 2015,Total,3,88
ARPO2,1,May 18 2015,Total,4,95
ARPO2,1,May 21 2019,Conifer,1,16
ARPO2,1,May 21 2019,Conifer,2,40
ARPO2,1,May 21 2019,Conifer,3,15
ARPO2,1,May 21 2019,Conifer,4,12
ARPO2,1,May 21 2019,Hardwood,1,64
ARPO2,1,May 21 2019,Hardwood,2,44
ARPO2,1,May 21 2019,Hardwood,3,72
ARPO2,1,May 21 2019,Hardwood,4,72
ARPO2,1,May 21 2019,Total,1,80
ARPO2,1,May 21 2019,Total,2,84
ARPO2,1,May 21 2019,Total,3,87
ARPO2,1,May 21 2019,Total,4,84
ARPO20,1,Jun  6 2007,Hardwood,1,96
ARPO20,1,Jun  6 2007,Hardwood,2,96
ARPO20,1,Jun  6 2007,Hardwood,3,96
ARPO20,1,Jun  6 2007,Hardwood,4,96
ARPO20,1,Jun  6 2007,Total,1,96
ARPO20,1,Jun  6 2007,Total,2,96
ARPO20,1,Jun  6 2007,Total,3,96
ARPO20,1,Jun  6 2007,Total,4,96
ARPO20,1,Jun  8 2011,Hardwood,1,92
ARPO20,1,Jun  8 2011,Hardwood,2,96
ARPO20,1,Jun  8 2011,Hardwood,3,96
ARPO20,1,Jun  8 2011,Hardwood,4,96
ARPO20,1,Jun  8 2011,Total,1,92
ARPO20,1,Jun  8 2011,Total,2,96
ARPO20,1,Jun  8 2011,Total,3,96
ARPO20,1,Jun  8 2011,Total,4,96
ARPO20,1,May 18 2015,Hardwood,1,77
ARPO20,1,May 18 2015,Hardwood,2,67
ARPO20,1,May 18 2015,Hardwood,3,76
ARPO20,1,May 18 2015,Hardwood,4,95
ARPO20,1,May 18 2015,Total,1,77
ARPO20,1,May 18 2015,Total,2,67
ARPO20,1,May 18 2015,Total,3,76
ARPO20,1,May 18 2015,Total,4,95
ARPO20,1,May 21 2019,Hardwood,1,88
ARPO20,1,May 21 2019,Hardwood,2,81
ARPO20,1,May 21 2019,Hardwood,3,89
ARPO20,1,May 21 2019,Hardwood,4,79
ARPO20,1,May 21 2019,Total,1,88
ARPO20,1,May 21 2019,Total,2,81
ARPO20,1,May 21 2019,Total,3,89
ARPO20,1,May 21 2019,Total,4,79
ARPO21,1,Jun  5 2007,Hardwood,2,7
ARPO21,1,Jun  5 2007,Hardwood,3,13
ARPO21,1,Jun  5 2007,Total,2,7
ARPO21,1,Jun  5 2007,Total,3,13
ARPO21,1,Jun  8 2011,Hardwood,1,36
ARPO21,1,Jun  8 2011,Hardwood,2,2
ARPO21,1,Jun  8 2011,Hardwood,3,1
ARPO21,1,Jun  8 2011,Hardwood,4,2
ARPO21,1,Jun  8 2011,Total,1,36
ARPO21,1,Jun  8 2011,Total,2,2
ARPO21,1,Jun  8 2011,Total,3,1
ARPO21,1,Jun  8 2011,Total,4,2
ARPO21,1,May 18 2015,Hardwood,1,24
ARPO21,1,May 18 2015,Hardwood,2,46
ARPO21,1,May 18 2015,Hardwood,3,21
ARPO21,1,May 18 2015,Hardwood,4,78
ARPO21,1,May 18 2015,Total,1,24
ARPO21,1,May 18 2015,Total,2,46
ARPO21,1,May 18 2015,Total,3,21
ARPO21,1,May 18 2015,Total,4,78
ARPO21,1,May 20 2019,Hardwood,1,90
ARPO21,1,May 20 2019,Hardwood,2,80
ARPO21,1,May 20 2019,Hardwood,3,7
ARPO21,1,May 20 2019,Hardwood,4,89
ARPO21,1,May 20 2019,Total,1,90
ARPO21,1,May 20 2019,Total,2,80
ARPO21,1,May 20 2019,Total,3,7
ARPO21,1,May 20 2019,Total,4,89
ARPO22,1,Jun  5 2007,Hardwood,1,95
ARPO22,1,Jun  5 2007,Hardwood,2,96
ARPO22,1,Jun  5 2007,Hardwood,3,96
ARPO22,1,Jun  5 2007,Hardwood,4,96
ARPO22,1,Jun  5 2007,Total,1,95
ARPO22,1,Jun  5 2007,Total,2,96
ARPO22,1,Jun  5 2007,Total,3,96
ARPO22,1,Jun  5 2007,Total,4,96
ARPO22,1,Jun  8 2011,Hardwood,1,94
ARPO22,1,Jun  8 2011,Hardwood,2,96
ARPO22,1,Jun  8 2011,Hardwood,3,96
ARPO22,1,Jun  8 2011,Hardwood,4,96
ARPO22,1,Jun  8 2011,Total,1,94
ARPO22,1,Jun  8 2011,Total,2,96
ARPO22,1,Jun  8 2011,Total,3,96
ARPO22,1,Jun  8 2011,Total,4,96
ARPO22,1,May 18 2015,Hardwood,1,92
ARPO22,1,May 18 2015,Hardwood,2,96
ARPO22,1,May 18 2015,Hardwood,3,94
ARPO22,1,May 18 2015,Hardwood,4,86
ARPO22,1,May 18 2015,Total,1,92
ARPO22,1,May 18 2015,Total,2,96
ARPO22,1,May 18 2015,Total,3,94
ARPO22,1,May 18 2015,Total,4,86
ARPO22,1,May 21 2019,Hardwood,1,86
ARPO22,1,May 21 2019,Hardwood,2,91
ARPO22,1,May 21 2019,Hardwood,3,89
ARPO22,1,May 21 2019,Hardwood,4,80
ARPO22,1,May 21 2019,Total,1,86
ARPO22,1,May 21 2019,Total,2,91
ARPO22,1,May 21 2019,Total,3,89
ARPO22,1,May 21 2019,Total,4,80
ARPO23,1,Jun  6 2007,Conifer,1,20
ARPO23,1,Jun  6 2007,Conifer,2,6
ARPO23,1,Jun  6 2007,Conifer,3,4
ARPO23,1,Jun  6 2007,Conifer,4,2
ARPO23,1,Jun  6 2007,Hardwood,1,72
ARPO23,1,Jun  6 2007,Hardwood,2,60
ARPO23,1,Jun  6 2007,Hardwood,3,90
ARPO23,1,Jun  6 2007,Hardwood,4,72
ARPO23,1,Jun  6 2007,Total,1,92
ARPO23,1,Jun  6 2007,Total,2,66
ARPO23,1,Jun  6 2007,Total,3,94
ARPO23,1,Jun  6 2007,Total,4,74
ARPO23,1,Jun  8 2011,Conifer,1,88
ARPO23,1,Jun  8 2011,Conifer,2,76
ARPO23,1,Jun  8 2011,Conifer,3,72
ARPO23,1,Jun  8 2011,Conifer,4,93
ARPO23,1,Jun  8 2011,Hardwood,1,10
ARPO23,1,Jun  8 2011,Hardwood,2,22
ARPO23,1,Jun  8 2011,Hardwood,3,8
ARPO23,1,Jun  8 2011,Hardwood,4,9
ARPO23,1,Jun  8 2011,Total,1,96
ARPO23,1,Jun  8 2011,Total,2,96
ARPO23,1,Jun  8 2011,Total,3,96
ARPO23,1,Jun  8 2011,Total,4,96
ARPO23,1,May 18 2015,Conifer,1,88
ARPO23,1,May 18 2015,Conifer,2,92
ARPO23,1,May 18 2015,Conifer,3,84
ARPO23,1,May 18 2015,Conifer,4,84
ARPO23,1,May 18 2015,Hardwood,1,6
ARPO23,1,May 18 2015,Hardwood,2,4
ARPO23,1,May 18 2015,Hardwood,3,6
ARPO23,1,May 18 2015,Hardwood,4,12
ARPO23,1,May 18 2015,Total,1,94
ARPO23,1,May 18 2015,Total,2,94
ARPO23,1,May 18 2015,Total,3,93
ARPO23,1,May 18 2015,Total,4,94
ARPO23,1,May 20 2019,Conifer,1,3
ARPO23,1,May 20 2019,Conifer,2,30
ARPO23,1,May 20 2019,Conifer,3,24
ARPO23,1,May 20 2019,Conifer,4,24
ARPO23,1,May 20 2019,Hardwood,1,80
ARPO23,1,May 20 2019,Hardwood,2,54
ARPO23,1,May 20 2019,Hardwood,3,60
ARPO23,1,May 20 2019,Hardwood,4,62
ARPO23,1,May 20 2019,Total,1,83
ARPO23,1,May 20 2019,Total,2,84
ARPO23,1,May 20 2019,Total,3,84
ARPO23,1,May 20 2019,Total,4,86
ARPO24,1,Jun  5 2007,Hardwood,1,96
ARPO24,1,Jun  5 2007,Hardwood,2,96
ARPO24,1,Jun  5 2007,Hardwood,3,96
ARPO24,1,Jun  5 2007,Hardwood,4,94
ARPO24,1,Jun  5 2007,Total,1,96
ARPO24,1,Jun  5 2007,Total,2,96
ARPO24,1,Jun  5 2007,Total,3,96
ARPO24,1,Jun  5 2007,Total,4,94
ARPO24,1,Jun  8 2011,Hardwood,1,95
ARPO24,1,Jun  8 2011,Hardwood,2,90
ARPO24,1,Jun  8 2011,Hardwood,3,95
ARPO24,1,Jun  8 2011,Hardwood,4,94
ARPO24,1,Jun  8 2011,Total,1,95
ARPO24,1,Jun  8 2011,Total,2,90
ARPO24,1,Jun  8 2011,Total,3,95
ARPO24,1,Jun  8 2011,Total,4,94
ARPO24,1,May 18 2015,Hardwood,1,95
ARPO24,1,May 18 2015,Hardwood,2,92
ARPO24,1,May 18 2015,Hardwood,3,46
ARPO24,1,May 18 2015,Hardwood,4,78
ARPO24,1,May 18 2015,Total,1,95
ARPO24,1,May 18 2015,Total,2,92
ARPO24,1,May 18 2015,Total,3,46
ARPO24,1,May 18 2015,Total,4,78
ARPO24,1,May 21 2019,Hardwood,1,83
ARPO24,1,May 21 2019,Hardwood,2,87
ARPO24,1,May 21 2019,Hardwood,3,88
ARPO24,1,May 21 2019,Hardwood,4,89
ARPO24,1,May 21 2019,Total,1,83
ARPO24,1,May 21 2019,Total,2,87
ARPO24,1,May 21 2019,Total,3,88
ARPO24,1,May 21 2019,Total,4,89
ARPO25,1,Jun  6 2007,Hardwood,2,23
ARPO25,1,Jun  6 2007,Hardwood,3,75
ARPO25,1,Jun  6 2007,Hardwood,4,2
ARPO25,1,Jun  6 2007,Total,2,23
ARPO25,1,Jun  6 2007,Total,3,75
ARPO25,1,Jun  6 2007,Total,4,2
ARPO25,1,Jun  8 2011,Conifer,1,4
ARPO25,1,Jun  8 2011,Hardwood,1,32
ARPO25,1,Jun  8 2011,Hardwood,2,46
ARPO25,1,Jun  8 2011,Hardwood,3,30
ARPO25,1,Jun  8 2011,Hardwood,4,28
ARPO25,1,Jun  8 2011,Total,1,44
ARPO25,1,Jun  8 2011,Total,2,46
ARPO25,1,Jun  8 2011,Total,3,30
ARPO25,1,Jun  8 2011,Total,4,28
ARPO25,1,May 18 2015,Hardwood,1,1
ARPO25,1,May 18 2015,Hardwood,2,73
ARPO25,1,May 18 2015,Hardwood,3,29
ARPO25,1,May 18 2015,Hardwood,4,13
ARPO25,1,May 18 2015,Total,1,1
ARPO25,1,May 18 2015,Total,2,73
