Plot,SubPlot,EventDate,TaxonCode,CommonName,DBHClass,TreeCount
ARPO10,1,May 19 2015,COFL,flowering dogwood,1.1 - 2.5 cm,1
ARPO10,1,May 19 2015,COFL,flowering dogwood,2.6 - 8.0 cm,3
ARPO10,1,May 19 2015,GLTR,honeylocust,8.1 - 15.0 cm,1
ARPO10,1,May 19 2015,GLTR,honeylocust,23.1 - 38.0 cm,1
ARPO10,1,May 19 2015,QUNI,water oak,2.6 - 8.0 cm,1
ARPO10,1,May 19 2015,QUPH,willow oak,1.1 - 2.5 cm,1
ARPO10,1,May 19 2015,QUST,post oak,1.1 - 2.5 cm,1
ARPO10,1,May 19 2015,QUST,post oak,2.6 - 8.0 cm,1
ARPO10,1,May 19 2015,QUST,post oak,8.1 - 15.0 cm,2
ARPO10,1,May 19 2015,SNAG,snag,2.6 - 8.0 cm,1
ARPO10,1,May 19 2015,ULAL,winged elm,< 1.0 cm,2
ARPO10,1,May 19 2015,ULAL,winged elm,1.1 - 2.5 cm,3
ARPO10,1,May 19 2015,ULAL,winged elm,2.6 - 8.0 cm,3
ARPO10,1,May 19 2015,ULAL,winged elm,8.1 - 15.0 cm,2
ARPO10,1,May 19 2015,ULAL,winged elm,15.1 - 23.0 cm,1
ARPO10,1,May 20 2019,CELTI,hackberry,1.1 - 2.5 cm,1
ARPO10,1,May 20 2019,CELTI,hackberry,2.6 - 8.0 cm,7
ARPO10,1,May 20 2019,CELTI,hackberry,8.1 - 15.0 cm,1
ARPO10,1,May 20 2019,CORNU,dogwood,< 1.0 cm,2
ARPO10,1,May 20 2019,CORNU,dogwood,1.1 - 2.5 cm,3
ARPO10,1,May 20 2019,CORNU,dogwood,2.6 - 8.0 cm,9
ARPO10,1,May 20 2019,GLEDI,honeylocusts,2.6 - 8.0 cm,1
ARPO10,1,May 20 2019,GLEDI,honeylocusts,8.1 - 15.0 cm,1
ARPO10,1,May 20 2019,GLEDI,honeylocusts,15.1 - 23.0 cm,1
ARPO10,1,May 20 2019,GLEDI,honeylocusts,23.1 - 38.0 cm,1
ARPO10,1,May 20 2019,ILEX,hollies,2.6 - 8.0 cm,1
ARPO10,1,May 20 2019,JUNIP,juniper,< 1.0 cm,1
ARPO10,1,May 20 2019,QUERC,oak,< 1.0 cm,3
ARPO10,1,May 20 2019,QUERC,oak,1.1 - 2.5 cm,2
ARPO10,1,May 20 2019,QUERC,oak,2.6 - 8.0 cm,2
ARPO10,1,May 20 2019,QUERC,oak,8.1 - 15.0 cm,2
ARPO10,1,May 20 2019,SNAG,snag,< 1.0 cm,1
ARPO10,1,May 20 2019,SNAG,snag,1.1 - 2.5 cm,1
ARPO10,1,May 20 2019,SNAG,snag,2.6 - 8.0 cm,3
ARPO10,1,May 20 2019,ULMUS,elm,< 1.0 cm,2
ARPO10,1,May 20 2019,ULMUS,elm,1.1 - 2.5 cm,4
ARPO10,1,May 20 2019,ULMUS,elm,2.6 - 8.0 cm,5
ARPO10,1,May 20 2019,ULMUS,elm,8.1 - 15.0 cm,4
ARPO11,1,Jun  7 2007,CRATA,hawthorn,< 1.0 cm,10
ARPO11,1,Jun  7 2007,CRATA,hawthorn,1.1 - 2.5 cm,7
ARPO11,1,Jun  7 2007,CRATA,hawthorn,2.6 - 8.0 cm,2
ARPO11,1,May 19 2015,ACNE2,boxelder,< 1.0 cm,2
ARPO11,1,May 19 2015,ACNE2,boxelder,1.1 - 2.5 cm,14
ARPO11,1,May 19 2015,ACNE2,boxelder,2.6 - 8.0 cm,15
ARPO12,1,Jun  5 2007,JUVI,eastern redcedar,8.1 - 15.0 cm,1
ARPO12,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,1
ARPO12,1,Jun  8 2011,CAAM2,American beautyberry,1.1 - 2.5 cm,5
ARPO12,1,Jun  8 2011,QUFA,southern red oak,> 38.0 cm,1
ARPO12,1,Jun  8 2011,QUPA5,cherrybark oak,> 38.0 cm,2
ARPO12,1,Jun  8 2011,SNAG,snag,23.1 - 38.0 cm,1
ARPO12,1,May 18 2015,LIST2,sweetgum,8.1 - 15.0 cm,2
ARPO12,1,May 18 2015,LIST2,sweetgum,15.1 - 23.0 cm,1
ARPO12,1,May 18 2015,QUPA5,cherrybark oak,8.1 - 15.0 cm,1
ARPO12,1,May 18 2015,SNAG,snag,1.1 - 2.5 cm,1
ARPO12,1,May 18 2015,ULAL,winged elm,1.1 - 2.5 cm,1
ARPO12,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,7
ARPO12,1,May 21 2019,SNAG,snag,8.1 - 15.0 cm,1
ARPO13,1,Jun  5 2007,ULAM,American elm,2.6 - 8.0 cm,3
ARPO13,1,Jun  5 2007,ULAM,American elm,8.1 - 15.0 cm,2
ARPO13,1,Jun  5 2007,ULAM,American elm,15.1 - 23.0 cm,1
ARPO13,1,Jun  8 2011,AEPA,red buckeye,< 1.0 cm,1
ARPO13,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,6
ARPO13,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,3
ARPO13,1,Jun  8 2011,ULAL,winged elm,8.1 - 15.0 cm,4
ARPO13,1,Jun  8 2011,ULAL,winged elm,15.1 - 23.0 cm,2
ARPO13,1,May 18 2015,CAAL27,mockernut hickory,< 1.0 cm,1
ARPO13,1,May 18 2015,CAAL27,mockernut hickory,1.1 - 2.5 cm,3
ARPO13,1,May 18 2015,PRSE2,black cherry,8.1 - 15.0 cm,1
ARPO13,1,May 18 2015,QUST,post oak,8.1 - 15.0 cm,1
ARPO13,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,3
ARPO13,1,May 21 2019,AESCU,Buckeye,< 1.0 cm,1
ARPO13,1,May 21 2019,QUERC,oak,1.1 - 2.5 cm,1
ARPO13,1,May 21 2019,SNAG,snag,1.1 - 2.5 cm,1
ARPO13,1,May 21 2019,SNAG,snag,2.6 - 8.0 cm,1
ARPO13,1,May 21 2019,SNAG,snag,8.1 - 15.0 cm,1
ARPO13,1,May 21 2019,ULMUS,elm,2.6 - 8.0 cm,2
ARPO13,1,May 21 2019,ULMUS,elm,8.1 - 15.0 cm,1
ARPO13,1,May 21 2019,ULMUS,elm,15.1 - 23.0 cm,2
ARPO14,1,Jun  6 2007,QUST,post oak,8.1 - 15.0 cm,1
ARPO14,1,Jun  6 2007,QUST,post oak,23.1 - 38.0 cm,1
ARPO14,1,Jun  6 2007,QUVE,black oak,23.1 - 38.0 cm,1
ARPO14,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,8
ARPO14,1,Jun  8 2011,QUNI,water oak,23.1 - 38.0 cm,1
ARPO14,1,Jun  8 2011,QUNI,water oak,> 38.0 cm,1
ARPO14,1,May 18 2015,CAAL27,mockernut hickory,< 1.0 cm,5
ARPO14,1,May 18 2015,QUST,post oak,8.1 - 15.0 cm,1
ARPO14,1,May 21 2019,QUERC,oak,23.1 - 38.0 cm,1
ARPO14,1,May 21 2019,QUERC,oak,> 38.0 cm,1
ARPO15,1,Jun  6 2007,ULAM,American elm,1.1 - 2.5 cm,4
ARPO15,1,Jun  6 2007,ULAM,American elm,2.6 - 8.0 cm,1
ARPO15,1,Jun  8 2011,LIST2,sweetgum,1.1 - 2.5 cm,1
ARPO15,1,Jun  8 2011,LIST2,sweetgum,15.1 - 23.0 cm,2
ARPO15,1,Jun  8 2011,LIST2,sweetgum,23.1 - 38.0 cm,1
ARPO15,1,Jun  8 2011,SNAG,snag,2.6 - 8.0 cm,2
ARPO15,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,6
ARPO15,1,Jun  8 2011,ULAL,winged elm,8.1 - 15.0 cm,1
ARPO15,1,May 18 2015,SNAG,snag,1.1 - 2.5 cm,1
ARPO15,1,May 18 2015,SNAG,snag,8.1 - 15.0 cm,1
ARPO15,1,May 18 2015,ULAL,winged elm,1.1 - 2.5 cm,2
ARPO15,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,6
ARPO15,1,May 18 2015,ULAL,winged elm,8.1 - 15.0 cm,2
ARPO15,1,May 21 2019,SNAG,snag,8.1 - 15.0 cm,1
ARPO15,1,May 21 2019,ULMUS,elm,1.1 - 2.5 cm,2
ARPO15,1,May 21 2019,ULMUS,elm,2.6 - 8.0 cm,8
ARPO15,1,May 21 2019,ULMUS,elm,8.1 - 15.0 cm,1
ARPO16,1,Jun  5 2007,PRSE2,black cherry,2.6 - 8.0 cm,1
ARPO16,1,Jun  5 2007,PRSE2,black cherry,> 38.0 cm,1
ARPO16,1,Jun  5 2007,ULAM,American elm,2.6 - 8.0 cm,3
ARPO16,1,Jun  5 2007,ULAM,American elm,8.1 - 15.0 cm,2
ARPO16,1,Jun  5 2007,ULAM,American elm,15.1 - 23.0 cm,1
ARPO16,1,Jun  8 2011,COFL,flowering dogwood,1.1 - 2.5 cm,1
ARPO16,1,Jun  8 2011,QUNI,water oak,> 38.0 cm,1
ARPO16,1,Jun  8 2011,QUST,post oak,2.6 - 8.0 cm,1
ARPO16,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,1
ARPO16,1,Jun  8 2011,ULAL,winged elm,8.1 - 15.0 cm,2
ARPO16,1,Jun  8 2011,ULAL,winged elm,15.1 - 23.0 cm,1
ARPO16,1,May 18 2015,SNAG,snag,2.6 - 8.0 cm,1
ARPO16,1,May 18 2015,SNAG,snag,> 38.0 cm,1
ARPO16,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,1
ARPO16,1,May 18 2015,ULAL,winged elm,8.1 - 15.0 cm,2
ARPO16,1,May 18 2015,ULAL,winged elm,15.1 - 23.0 cm,1
ARPO16,1,May 21 2019,QUERC,oak,< 1.0 cm,1
ARPO16,1,May 21 2019,QUERC,oak,2.6 - 8.0 cm,1
ARPO16,1,May 21 2019,QUERC,oak,8.1 - 15.0 cm,2
ARPO16,1,May 21 2019,QUERC,oak,> 38.0 cm,1
ARPO16,1,May 21 2019,ULMUS,elm,2.6 - 8.0 cm,1
ARPO16,1,May 21 2019,ULMUS,elm,8.1 - 15.0 cm,2
ARPO16,1,May 21 2019,ULMUS,elm,15.1 - 23.0 cm,1
ARPO17,1,Jun  5 2007,QUMA3,blackjack oak,> 38.0 cm,1
ARPO17,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,8
ARPO17,1,Jun  8 2011,QUPA5,cherrybark oak,> 38.0 cm,1
ARPO17,1,Jun  8 2011,ULAL,winged elm,23.1 - 38.0 cm,1
ARPO17,1,May 18 2015,CAAL27,mockernut hickory,< 1.0 cm,7
ARPO17,1,May 18 2015,CAAL27,mockernut hickory,1.1 - 2.5 cm,5
ARPO17,1,May 18 2015,QUNI,water oak,23.1 - 38.0 cm,1
ARPO17,1,May 18 2015,QUST,post oak,15.1 - 23.0 cm,1
ARPO17,1,May 18 2015,ULAL,winged elm,< 1.0 cm,1
ARPO17,1,May 21 2019,QUERC,oak,> 38.0 cm,1
ARPO18,1,Jun  6 2007,DIVI5,common persimmon,1.1 - 2.5 cm,4
ARPO18,1,Jun  6 2007,DIVI5,common persimmon,2.6 - 8.0 cm,3
ARPO18,1,Jun  6 2007,LIST2,sweetgum,2.6 - 8.0 cm,7
ARPO18,1,Jun  6 2007,LIST2,sweetgum,8.1 - 15.0 cm,6
ARPO18,1,Jun  6 2007,LIST2,sweetgum,15.1 - 23.0 cm,1
ARPO18,1,Jun  6 2007,ULAL,winged elm,< 1.0 cm,1
ARPO18,1,Jun  6 2007,ULAL,winged elm,1.1 - 2.5 cm,1
ARPO18,1,Jun  6 2007,ULAL,winged elm,2.6 - 8.0 cm,3
ARPO18,1,Jun  8 2011,DIVI5,common persimmon,< 1.0 cm,2
ARPO18,1,Jun  8 2011,DIVI5,common persimmon,1.1 - 2.5 cm,4
ARPO18,1,Jun  8 2011,DIVI5,common persimmon,2.6 - 8.0 cm,8
ARPO18,1,Jun  8 2011,DIVI5,common persimmon,8.1 - 15.0 cm,1
ARPO18,1,Jun  8 2011,LIST2,sweetgum,2.6 - 8.0 cm,5
ARPO18,1,Jun  8 2011,LIST2,sweetgum,8.1 - 15.0 cm,4
ARPO18,1,Jun  8 2011,LIST2,sweetgum,15.1 - 23.0 cm,5
ARPO18,1,Jun  8 2011,QUPA5,cherrybark oak,2.6 - 8.0 cm,1
ARPO18,1,Jun  8 2011,SNAG,snag,2.6 - 8.0 cm,2
ARPO18,1,Jun  8 2011,ULAL,winged elm,1.1 - 2.5 cm,1
ARPO18,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,2
ARPO18,1,May 18 2015,DIVI5,common persimmon,1.1 - 2.5 cm,2
ARPO18,1,May 18 2015,LIST2,sweetgum,2.6 - 8.0 cm,10
ARPO18,1,May 18 2015,LIST2,sweetgum,8.1 - 15.0 cm,11
ARPO18,1,May 18 2015,LIST2,sweetgum,23.1 - 38.0 cm,1
ARPO18,1,May 18 2015,QUPH,willow oak,2.6 - 8.0 cm,1
ARPO18,1,May 18 2015,SNAG,snag,2.6 - 8.0 cm,3
ARPO18,1,May 18 2015,ULAL,winged elm,< 1.0 cm,1
ARPO18,1,May 18 2015,ULAL,winged elm,1.1 - 2.5 cm,2
ARPO18,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,6
ARPO18,1,May 20 2019,DIOSP,persimmons,< 1.0 cm,1
ARPO18,1,May 20 2019,DIOSP,persimmons,2.6 - 8.0 cm,4
ARPO18,1,May 20 2019,LIQUI,sweetgums,1.1 - 2.5 cm,1
ARPO18,1,May 20 2019,LIQUI,sweetgums,2.6 - 8.0 cm,2
ARPO18,1,May 20 2019,LIQUI,sweetgums,8.1 - 15.0 cm,4
ARPO18,1,May 20 2019,LIQUI,sweetgums,15.1 - 23.0 cm,2
ARPO18,1,May 20 2019,SNAG,snag,1.1 - 2.5 cm,1
ARPO18,1,May 20 2019,SNAG,snag,2.6 - 8.0 cm,2
ARPO18,1,May 20 2019,SNAG,snag,8.1 - 15.0 cm,1
ARPO18,1,May 20 2019,ULMUS,elm,< 1.0 cm,2
ARPO18,1,May 20 2019,ULMUS,elm,1.1 - 2.5 cm,3
ARPO18,1,May 20 2019,ULMUS,elm,2.6 - 8.0 cm,6
ARPO19,1,Jun  6 2007,JUVI,eastern redcedar,15.1 - 23.0 cm,1
ARPO19,1,Jun  6 2007,QUST,post oak,15.1 - 23.0 cm,1
ARPO19,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,12
ARPO19,1,Jun  8 2011,JUVI,eastern redcedar,15.1 - 23.0 cm,1
ARPO19,1,Jun  8 2011,QUPA5,cherrybark oak,15.1 - 23.0 cm,1
ARPO19,1,May 18 2015,CAAL27,mockernut hickory,< 1.0 cm,5
ARPO19,1,May 18 2015,CAAL27,mockernut hickory,1.1 - 2.5 cm,2
ARPO19,1,May 18 2015,QUST,post oak,< 1.0 cm,1
ARPO19,1,May 18 2015,QUST,post oak,15.1 - 23.0 cm,1
ARPO19,1,May 18 2015,ULAL,winged elm,< 1.0 cm,1
ARPO19,1,May 21 2019,QUERC,oak,< 1.0 cm,2
ARPO19,1,May 21 2019,QUERC,oak,23.1 - 38.0 cm,1
ARPO2,1,Jun  5 2007,DIVI5,common persimmon,15.1 - 23.0 cm,1
ARPO2,1,Jun  5 2007,DIVI5,common persimmon,23.1 - 38.0 cm,1
ARPO2,1,Jun  5 2007,FRPE,green ash,23.1 - 38.0 cm,1
ARPO2,1,Jun  5 2007,FRPE,green ash,> 38.0 cm,1
ARPO2,1,Jun  5 2007,JUVI,eastern redcedar,15.1 - 23.0 cm,1
ARPO2,1,Jun  5 2007,JUVI,eastern redcedar,23.1 - 38.0 cm,3
ARPO2,1,Jun  5 2007,QUST,post oak,< 1.0 cm,10
ARPO2,1,Jun  8 2011,DIVI5,common persimmon,23.1 - 38.0 cm,1
ARPO2,1,Jun  8 2011,DIVI5,common persimmon,> 38.0 cm,1
ARPO2,1,Jun  8 2011,JUVI,eastern redcedar,23.1 - 38.0 cm,1
ARPO2,1,Jun  8 2011,QUNI,water oak,1.1 - 2.5 cm,1
ARPO2,1,Jun  8 2011,QUNI,water oak,2.6 - 8.0 cm,2
ARPO2,1,Jun  8 2011,QUPA5,cherrybark oak,> 38.0 cm,1
ARPO2,1,Jun  8 2011,QUST,post oak,1.1 - 2.5 cm,1
ARPO2,1,Jun  8 2011,QUST,post oak,2.6 - 8.0 cm,4
ARPO2,1,Jun  8 2011,ULAL,winged elm,15.1 - 23.0 cm,2
ARPO2,1,Jun  8 2011,ULAL,winged elm,23.1 - 38.0 cm,2
ARPO2,1,May 21 2019,JUNIP,juniper,23.1 - 38.0 cm,1
ARPO2,1,May 21 2019,QUERC,oak,2.6 - 8.0 cm,5
ARPO2,1,May 21 2019,QUERC,oak,8.1 - 15.0 cm,1
ARPO2,1,May 21 2019,QUERC,oak,> 38.0 cm,1
ARPO2,1,May 21 2019,ULMUS,elm,< 1.0 cm,3
ARPO2,1,May 21 2019,ULMUS,elm,1.1 - 2.5 cm,2
ARPO2,1,May 21 2019,ULMUS,elm,15.1 - 23.0 cm,2
ARPO2,1,May 21 2019,ULMUS,elm,23.1 - 38.0 cm,2
ARPO20,1,Jun  6 2007,QUST,post oak,8.1 - 15.0 cm,1
ARPO20,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,5
ARPO20,1,Jun  8 2011,QUPA5,cherrybark oak,8.1 - 15.0 cm,2
ARPO20,1,Jun  8 2011,ULAL,winged elm,< 1.0 cm,2
ARPO20,1,Jun  8 2011,ULAL,winged elm,1.1 - 2.5 cm,2
ARPO20,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,1
ARPO20,1,May 18 2015,CAAM2,American beautyberry,1.1 - 2.5 cm,4
ARPO20,1,May 18 2015,QUST,post oak,8.1 - 15.0 cm,2
ARPO20,1,May 21 2019,CELTI,hackberry,15.1 - 23.0 cm,1
ARPO20,1,May 21 2019,QUERC,oak,8.1 - 15.0 cm,1
ARPO20,1,May 21 2019,QUERC,oak,15.1 - 23.0 cm,1
ARPO20,1,May 21 2019,ULMUS,elm,1.1 - 2.5 cm,3
ARPO20,1,May 21 2019,ULMUS,elm,2.6 - 8.0 cm,3
ARPO20,1,May 21 2019,ULMUS,elm,15.1 - 23.0 cm,1
ARPO21,1,Jun  5 2007,ULAL,winged elm,2.6 - 8.0 cm,1
ARPO21,1,May 18 2015,DIVI5,common persimmon,2.6 - 8.0 cm,1
ARPO21,1,May 18 2015,JUVI,eastern redcedar,1.1 - 2.5 cm,1
ARPO21,1,May 18 2015,ULAL,winged elm,8.1 - 15.0 cm,1
ARPO21,1,May 20 2019,DIOSP,persimmons,< 1.0 cm,1
ARPO21,1,May 20 2019,ULMUS,elm,15.1 - 23.0 cm,1
ARPO22,1,Jun  5 2007,QUST,post oak,> 38.0 cm,1
ARPO22,1,Jun  8 2011,QUST,post oak,> 38.0 cm,1
ARPO22,1,Jun  8 2011,ULAL,winged elm,15.1 - 23.0 cm,1
ARPO22,1,Jun  8 2011,ULAL,winged elm,23.1 - 38.0 cm,1
ARPO22,1,May 18 2015,QUST,post oak,2.6 - 8.0 cm,1
ARPO22,1,May 18 2015,ULAL,winged elm,23.1 - 38.0 cm,1
ARPO22,1,May 21 2019,QUERC,oak,15.1 - 23.0 cm,1
ARPO22,1,May 21 2019,QUERC,oak,23.1 - 38.0 cm,1
ARPO23,1,Jun  6 2007,CACO15,bitternut hickory,1.1 - 2.5 cm,2
ARPO23,1,Jun  6 2007,CACO15,bitternut hickory,2.6 - 8.0 cm,3
ARPO23,1,Jun  6 2007,JUVI,eastern redcedar,2.6 - 8.0 cm,1
ARPO23,1,Jun  6 2007,JUVI,eastern redcedar,8.1 - 15.0 cm,5
ARPO23,1,Jun  6 2007,JUVI,eastern redcedar,15.1 - 23.0 cm,2
ARPO23,1,Jun  6 2007,PLOC,American sycamore,2.6 - 8.0 cm,1
ARPO23,1,Jun  6 2007,PLOC,American sycamore,8.1 - 15.0 cm,1
ARPO23,1,Jun  8 2011,DIVI5,common persimmon,8.1 - 15.0 cm,2
ARPO23,1,Jun  8 2011,JUVI,eastern redcedar,2.6 - 8.0 cm,2
ARPO23,1,Jun  8 2011,JUVI,eastern redcedar,8.1 - 15.0 cm,4
ARPO23,1,Jun  8 2011,JUVI,eastern redcedar,23.1 - 38.0 cm,1
ARPO23,1,Jun  8 2011,LIST2,sweetgum,15.1 - 23.0 cm,1
ARPO23,1,Jun  8 2011,PITA,loblolly pine,23.1 - 38.0 cm,1
ARPO23,1,Jun  8 2011,SNAG,snag,1.1 - 2.5 cm,1
ARPO23,1,Jun  8 2011,SNAG,snag,2.6 - 8.0 cm,4
ARPO23,1,Jun  8 2011,ULAL,winged elm,2.6 - 8.0 cm,2
ARPO23,1,Jun  8 2011,ULAL,winged elm,8.1 - 15.0 cm,2
ARPO23,1,Jun  8 2011,ULAL,winged elm,15.1 - 23.0 cm,3
ARPO23,1,May 18 2015,JUVI,eastern redcedar,8.1 - 15.0 cm,3
ARPO23,1,May 18 2015,JUVI,eastern redcedar,15.1 - 23.0 cm,3
ARPO23,1,May 18 2015,JUVI,eastern redcedar,23.1 - 38.0 cm,1
ARPO23,1,May 18 2015,PITA,loblolly pine,> 38.0 cm,1
ARPO23,1,May 18 2015,SNAG,snag,1.1 - 2.5 cm,1
ARPO23,1,May 18 2015,SNAG,snag,2.6 - 8.0 cm,1
ARPO23,1,May 18 2015,ULAL,winged elm,< 1.0 cm,1
ARPO23,1,May 18 2015,ULAL,winged elm,2.6 - 8.0 cm,2
ARPO23,1,May 18 2015,ULAL,winged elm,15.1 - 23.0 cm,2
ARPO23,1,May 20 2019,JUNIP,juniper,8.1 - 15.0 cm,3
ARPO23,1,May 20 2019,JUNIP,juniper,15.1 - 23.0 cm,2
ARPO23,1,May 20 2019,JUNIP,juniper,23.1 - 38.0 cm,1
ARPO23,1,May 20 2019,PINUS,Pine,> 38.0 cm,1
ARPO23,1,May 20 2019,ULMUS,elm,2.6 - 8.0 cm,1
ARPO23,1,May 20 2019,ULMUS,elm,15.1 - 23.0 cm,1
ARPO24,1,Jun  5 2007,QUSH,Shumard's oak,8.1 - 15.0 cm,1
ARPO24,1,Jun  5 2007,ULAM,American elm,15.1 - 23.0 cm,1
ARPO24,1,Jun  5 2007,ULAM,American elm,23.1 - 38.0 cm,2
ARPO24,1,Jun  8 2011,CAAL27,mockernut hickory,15.1 - 23.0 cm,1
ARPO24,1,Jun  8 2011,CAIL2,pecan,> 38.0 cm,1
ARPO24,1,Jun  8 2011,POTR4,hardy orange,< 1.0 cm,140
ARPO24,1,Jun  8 2011,QUPA5,cherrybark oak,1.1 - 2.5 cm,1
ARPO24,1,May 18 2015,JUNI,black walnut,23.1 - 38.0 cm,1
ARPO24,1,May 18 2015,SNAG,snag,15.1 - 23.0 cm,1
ARPO24,1,May 21 2019,CARYA,hickory,23.1 - 38.0 cm,1
ARPO24,1,May 21 2019,DIOSP,persimmons,< 1.0 cm,3
ARPO24,1,May 21 2019,QUERC,oak,15.1 - 23.0 cm,1
ARPO24,1,May 21 2019,SNAG,snag,15.1 - 23.0 cm,1
ARPO27,1,Jun  5 2007,GLTR,honeylocust,< 1.0 cm,1
ARPO27,1,Jun  5 2007,GYDI,Kentucky coffeetree,< 1.0 cm,2
ARPO27,1,Jun  5 2007,PRSE2,black cherry,> 38.0 cm,1
ARPO27,1,Jun  5 2007,ROPS,black locust,< 1.0 cm,6
ARPO27,1,Jun  5 2007,ROPS,black locust,1.1 - 2.5 cm,1
ARPO27,1,Jun  5 2007,ROPS,black locust,2.6 - 8.0 cm,2
ARPO27,1,Jun  5 2007,ULAL,winged elm,< 1.0 cm,4
ARPO27,1,Jun  5 2007,ULAL,winged elm,1.1 - 2.5 cm,3
ARPO27,1,Jun  5 2007,ULAL,winged elm,2.6 - 8.0 cm,2
ARPO27,1,Jun  7 2011,CELA,sugarberry,2.6 - 8.0 cm,1
ARPO27,1,Jun  7 2011,GLTR,honeylocust,1.1 - 2.5 cm,1
ARPO27,1,Jun  7 2011,QUPH,willow oak,23.1 - 38.0 cm,1
ARPO27,1,Jun  7 2011,ROPS,black locust,1.1 - 2.5 cm,1
ARPO27,1,Jun  7 2011,ULAL,winged elm,1.1 - 2.5 cm,5
ARPO27,1,Jun  7 2011,ULAM,American elm,> 38.0 cm,1
