Plot,SubPlot,EventDate,Height,Vegetation,Count
AGFO14,2,May  8 2001,0 - 1 m,Herbaceous,4
AGFO14,3,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO14,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO14,3,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO14,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO14,3,May  8 2001,0 - 1 m,Herbaceous,1
AGFO14,4,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO14,4,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO14,4,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO14,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO14,4,May  8 2001,0 - 1 m,Herbaceous,3
AGFO15,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO15,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO15,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO15,1,Jun  9 2004,0 - 1 m,Herbaceous,2
AGFO15,2,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO15,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO15,2,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO15,2,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO15,3,Jun  5 2003,0 - 1 m,Herbaceous,1
AGFO15,3,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO15,3,Jun  8 2006,0 - 1 m,Herbaceous,3
AGFO15,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO15,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO15,4,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO15,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO15,4,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO16,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO16,1,Jun  8 2005,0 - 1 m,Herbaceous,3
AGFO16,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO16,1,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO16,2,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO16,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO16,2,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO16,2,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO16,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO16,3,Jun  8 2005,0 - 1 m,Herbaceous,3
AGFO16,3,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO16,3,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO16,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO16,4,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO16,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO16,4,Jun  9 2004,0 - 1 m,Herbaceous,2
AGFO17,1,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO17,1,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO17,1,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO17,1,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO17,1,May  8 2001,0 - 1 m,Herbaceous,4
AGFO17,2,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO17,2,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO17,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO17,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO17,2,May  8 2001,0 - 1 m,Herbaceous,3
AGFO17,3,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO17,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO17,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO17,3,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO17,3,May  8 2001,0 - 1 m,Herbaceous,2
AGFO17,4,Jun  3 2003,0 - 1 m,Deciduous,1
AGFO17,4,Jun  3 2003,0 - 1 m,Herbaceous,3
AGFO17,4,Jun  3 2003,1 - 2 m,Deciduous,1
AGFO17,4,Jun  7 2004,0 - 1 m,Deciduous,4
AGFO17,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO17,4,Jun  7 2004,1 - 2 m,Deciduous,4
AGFO17,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO17,4,Jun  7 2006,1 - 2 m,Herbaceous,1
AGFO18,1,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO18,1,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO18,1,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO18,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO18,1,May  8 2001,0 - 1 m,Herbaceous,2
AGFO18,2,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO18,2,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO18,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO18,2,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO18,2,May  8 2001,0 - 1 m,Herbaceous,2
AGFO18,3,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO18,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO18,3,Jun  7 2004,1 - 2 m,Herbaceous,4
AGFO18,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO18,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO18,3,May  8 2001,0 - 1 m,Herbaceous,2
AGFO18,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO19,1,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO19,1,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO19,1,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO19,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO19,1,May  8 2001,0 - 1 m,Herbaceous,1
AGFO19,2,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO19,2,Jun  7 2004,0 - 1 m,Herbaceous,2
AGFO19,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO19,2,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO19,2,May  8 2001,0 - 1 m,Herbaceous,3
AGFO19,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO19,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO19,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO19,3,May  8 2001,0 - 1 m,Herbaceous,1
AGFO19,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO19,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO19,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO19,4,May  8 2001,0 - 1 m,Herbaceous,3
AGFO2,1,Jun  4 2003,0 - 1 m,Herbaceous,2
AGFO2,1,Jun  6 2005,0 - 1 m,Herbaceous,3
AGFO2,1,Jun  6 2006,0 - 1 m,Deciduous,1
AGFO2,1,Jun  6 2006,0 - 1 m,Herbaceous,2
AGFO2,1,Jun  8 2004,0 - 1 m,Herbaceous,4
AGFO2,1,May  8 2001,0 - 1 m,Herbaceous,2
AGFO2,2,Jun  4 2003,0 - 1 m,Herbaceous,3
AGFO2,2,Jun  6 2005,0 - 1 m,Herbaceous,4
AGFO2,2,Jun  6 2006,0 - 1 m,Herbaceous,4
AGFO2,2,Jun  8 2004,0 - 1 m,Herbaceous,2
AGFO2,2,May  8 2001,0 - 1 m,Herbaceous,2
AGFO2,3,Jun  4 2003,0 - 1 m,Herbaceous,1
AGFO2,3,Jun  6 2005,0 - 1 m,Deciduous,2
AGFO2,3,Jun  6 2005,0 - 1 m,Herbaceous,2
AGFO2,3,Jun  6 2006,0 - 1 m,Deciduous,1
AGFO2,3,Jun  6 2006,0 - 1 m,Herbaceous,3
AGFO2,3,Jun  8 2004,0 - 1 m,Herbaceous,2
AGFO2,3,May  8 2001,0 - 1 m,Herbaceous,3
AGFO2,4,Jun  4 2003,0 - 1 m,Deciduous,1
AGFO2,4,Jun  4 2003,0 - 1 m,Herbaceous,1
AGFO2,4,Jun  6 2005,0 - 1 m,Herbaceous,4
AGFO2,4,Jun  6 2006,0 - 1 m,Herbaceous,4
AGFO2,4,Jun  8 2004,0 - 1 m,Herbaceous,2
AGFO20,1,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO20,1,Jun  7 2004,0 - 1 m,Herbaceous,2
AGFO20,1,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO20,1,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO20,1,Jun  7 2006,1 - 2 m,Herbaceous,1
AGFO20,1,May  8 2001,0 - 1 m,Herbaceous,1
AGFO20,2,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO20,2,Jun  7 2004,0 - 1 m,Herbaceous,2
AGFO20,2,Jun  7 2004,1 - 2 m,Herbaceous,1
AGFO20,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO20,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO20,2,May  8 2001,0 - 1 m,Herbaceous,2
AGFO20,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO20,3,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO20,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO20,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO20,3,May  8 2001,0 - 1 m,Herbaceous,4
AGFO20,4,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO20,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO20,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO20,4,May  8 2001,0 - 1 m,Herbaceous,2
AGFO21,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO21,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO21,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO21,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO21,1,May  9 2001,0 - 1 m,Herbaceous,4
AGFO21,2,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO21,2,Jun  7 2006,0 - 1 m,Deciduous,1
AGFO21,2,Jun  7 2006,0 - 1 m,Herbaceous,2
AGFO21,2,Jun  7 2006,1 - 2 m,Herbaceous,1
AGFO21,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO21,2,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO21,2,May  9 2001,0 - 1 m,Herbaceous,1
AGFO21,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO21,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO21,3,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO21,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO21,3,May  9 2001,0 - 1 m,Herbaceous,4
AGFO21,4,Jun  5 2003,0 - 1 m,Herbaceous,2
AGFO21,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO21,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO21,4,May  9 2001,0 - 1 m,Herbaceous,4
AGFO22,1,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO22,1,Jun  5 2003,1 - 2 m,Herbaceous,1
AGFO22,1,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO22,1,Jun  7 2006,1 - 2 m,Herbaceous,1
AGFO22,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO22,1,Jun  8 2005,1 - 2 m,Herbaceous,1
AGFO22,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO22,1,Jun  9 2004,1 - 2 m,Herbaceous,1
AGFO22,1,May 10 2001,0 - 1 m,Herbaceous,4
AGFO22,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO22,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO22,3,Jun  7 2006,1 - 2 m,Herbaceous,1
AGFO22,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO22,3,May 10 2001,0 - 1 m,Herbaceous,4
AGFO22,3,May 10 2001,1 - 2 m,Herbaceous,1
AGFO22,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO22,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO22,4,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO22,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO22,4,May 10 2001,0 - 1 m,Herbaceous,2
AGFO23,1,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO23,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO23,1,Jun  7 2006,1 - 2 m,Herbaceous,3
AGFO23,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO23,1,Jun  8 2005,1 - 2 m,Herbaceous,1
AGFO23,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO23,1,May  9 2001,0 - 1 m,Herbaceous,2
AGFO23,2,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO23,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO23,2,Jun  8 2005,0 - 1 m,Herbaceous,2
AGFO23,2,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO23,2,May  9 2001,0 - 1 m,Herbaceous,4
AGFO23,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO23,3,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO23,3,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO23,3,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO23,3,May  9 2001,0 - 1 m,Herbaceous,3
AGFO23,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO23,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO23,4,Jun  7 2006,1 - 2 m,Herbaceous,4
AGFO23,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO23,4,Jun  9 2004,1 - 2 m,Herbaceous,4
AGFO24,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO24,1,Jun  5 2003,1 - 2 m,Herbaceous,1
AGFO24,1,Jun  8 2005,0 - 1 m,Herbaceous,3
AGFO24,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO24,1,Jun  8 2006,1 - 2 m,Herbaceous,1
AGFO24,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO24,1,May  9 2001,0 - 1 m,Herbaceous,1
AGFO24,2,Jun  5 2003,0 - 1 m,Herbaceous,1
AGFO24,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO24,2,Jun  8 2006,0 - 1 m,Herbaceous,3
AGFO24,2,Jun  9 2004,0 - 1 m,Herbaceous,2
AGFO24,2,May  9 2001,0 - 1 m,Herbaceous,4
AGFO24,3,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO24,3,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO24,3,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO24,3,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO24,3,May  9 2001,0 - 1 m,Herbaceous,2
AGFO24,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO24,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO24,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO24,4,May  9 2001,0 - 1 m,Herbaceous,4
AGFO25,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO25,1,Jun  5 2003,1 - 2 m,Herbaceous,4
AGFO25,1,Jun  8 2005,0 - 1 m,Herbaceous,3
AGFO25,1,Jun  8 2005,1 - 2 m,Herbaceous,3
AGFO25,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO25,1,Jun  8 2006,1 - 2 m,Herbaceous,4
AGFO25,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO25,1,Jun  9 2004,1 - 2 m,Herbaceous,4
AGFO25,1,May  9 2001,0 - 1 m,Herbaceous,2
AGFO25,2,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO25,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO25,2,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO25,2,Jun  9 2004,0 - 1 m,Herbaceous,1
AGFO25,3,Jun  5 2003,0 - 1 m,Herbaceous,1
AGFO25,3,Jun  8 2006,0 - 1 m,Herbaceous,3
AGFO25,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO25,3,May  9 2001,0 - 1 m,Herbaceous,4
AGFO25,4,Jun  5 2003,0 - 1 m,Herbaceous,2
AGFO25,4,Jun  8 2006,0 - 1 m,Deciduous,1
AGFO25,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO25,4,Jun  9 2004,0 - 1 m,Herbaceous,2
AGFO25,4,May  9 2001,0 - 1 m,Herbaceous,4
AGFO26,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO26,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO26,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO26,1,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO26,1,May  7 2001,0 - 1 m,Herbaceous,4
AGFO26,2,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO26,2,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO26,2,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO26,2,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO26,2,May  7 2001,0 - 1 m,Herbaceous,2
AGFO26,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO26,3,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO26,3,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO26,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO26,3,May  7 2001,0 - 1 m,Herbaceous,4
AGFO26,4,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO26,4,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO26,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO26,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO26,4,May  7 2001,0 - 1 m,Herbaceous,3
AGFO27,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO27,1,Jun  5 2003,1 - 2 m,Herbaceous,2
AGFO27,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO27,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO27,1,Jun  8 2006,1 - 2 m,Herbaceous,2
AGFO27,1,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO27,1,May  9 2001,0 - 1 m,Herbaceous,1
AGFO27,3,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO27,3,Jun  8 2005,0 - 1 m,Herbaceous,2
AGFO27,3,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO27,3,Jun  8 2006,1 - 2 m,Herbaceous,1
AGFO27,3,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO27,3,May  9 2001,0 - 1 m,Herbaceous,1
AGFO27,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO27,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO27,4,Jun  9 2004,0 - 1 m,Herbaceous,4
AGFO27,4,May  9 2001,0 - 1 m,Herbaceous,4
AGFO28,1,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO28,1,Jun  8 2005,0 - 1 m,Herbaceous,4
AGFO28,1,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO28,1,Jun  8 2006,1 - 2 m,Herbaceous,2
AGFO28,1,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO28,1,May  9 2001,0 - 1 m,Herbaceous,3
AGFO28,2,Jun  5 2003,0 - 1 m,Herbaceous,3
AGFO28,2,Jun  8 2006,0 - 1 m,Herbaceous,3
AGFO28,2,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO28,2,May  9 2001,0 - 1 m,Herbaceous,3
AGFO28,4,Jun  5 2003,0 - 1 m,Herbaceous,4
AGFO28,4,Jun  8 2005,0 - 1 m,Herbaceous,3
AGFO28,4,Jun  8 2006,0 - 1 m,Herbaceous,4
AGFO28,4,Jun  9 2004,0 - 1 m,Herbaceous,3
AGFO28,4,May  9 2001,0 - 1 m,Herbaceous,1
